collection_date_kst,source,main_url,excel_url,query_date,raw_path,raw_bytes,content_type,content_disposition,parse_type,raw_rows,standardized_chungnam_rows,sigungu_count,date_col,sido_col,sigungu_col,moisture_col,stage_col,status,logged_at_kst
20260528,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data\raw\live_snapshots\20260528\adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-05-28 20:18:17
20260528,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data\raw\live_snapshots\20260528\adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-05-28 20:23:59
20260528,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data\raw\live_snapshots\20260528\adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-05-28 20:25:24
20260528,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data/raw/live_snapshots/20260528/adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-05-28 20:52:20
20260529,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data/raw/live_snapshots/20260529/adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-05-29 10:58:22
20260530,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data/raw/live_snapshots/20260530/adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-05-30 10:53:51
20260601,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-05-26,data/raw/live_snapshots/20260601/adms_soil_moisture_today_raw.bin,47032,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-01 11:15:31
20260603,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-01,data/raw/live_snapshots/20260603/adms_soil_moisture_today_raw.bin,47001,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-03 11:34:01
20260605,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-01,data/raw/live_snapshots/20260605/adms_soil_moisture_today_raw.bin,47001,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-05 11:05:23
20260606,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-01,data/raw/live_snapshots/20260606/adms_soil_moisture_today_raw.bin,47001,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-06 10:56:43
20260610,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-08,data/raw/live_snapshots/20260610/adms_soil_moisture_today_raw.bin,46933,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-10 11:05:02
20260611,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-08,data/raw/live_snapshots/20260611/adms_soil_moisture_today_raw.bin,46933,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-11 11:16:28
20260612,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-08,data/raw/live_snapshots/20260612/adms_soil_moisture_today_raw.bin,46933,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-12 11:12:13
20260615,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-08,data/raw/live_snapshots/20260615/adms_soil_moisture_today_raw.bin,46933,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-15 11:31:03
20260619,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-15,data/raw/live_snapshots/20260619/adms_soil_moisture_today_raw.bin,46877,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-19 11:45:30
20260626,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-22,data/raw/live_snapshots/20260626/adms_soil_moisture_today_raw.bin,46978,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-26 11:03:26
20260628,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-22,data/raw/live_snapshots/20260628/adms_soil_moisture_today_raw.bin,46978,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-28 11:08:07
20260629,ADMS_SOIL_MOISTURE,https://adms.ekr.or.kr/page/farmFarmWaterValueMain.do,https://adms.ekr.or.kr/droughtInfo/retrieveFarmWaterValueListExcel.do,2026-06-22,data/raw/live_snapshots/20260629/adms_soil_moisture_today_raw.bin,46978,application/vnd.ms-excel;charset=EUC-KR,attachment; filename=¹çÅä¾çÀ¯È¿¼öºÐÇöÈ².xls,html_table_cp949,167,15,15,,"('시도','시도')","('시군','시군')","('현재','토양유효수분')","('현재','가뭄단계')",SUCCESS,2026-06-29 11:08:31
