category_code,category_name,relative_path,file_name,extension,size_mb,modified_time,preview_info,columns_preview,zip_file_count,zip_preview,error
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_농업기반시설 시설제원_저수지\농업기반시설_저수지_2021_v3.csv,농업기반시설_저수지_2021_v3.csv,.csv,0.478,2026-05-27 20:27:04,cp949,표준코드 | 시설명 | 소재지 | 착공년도 | 준공년도 | 종별 | 구분 | 유역면적 | 홍수면적 | 만수면적 | 수혜면적 | 한발빈도 | 홍수빈도 | 제체형식 | 제체체적 | 제체길이 | 제체높이 | 총저수량 | 유효저수량 | 사수량 | 취수형식 | 홍수위 | 만수위 | 사수위,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_농업기반시설 시설제원_저수지\한국농어촌공사_농업기반시설 시설제원_저수지_2020.csv,한국농어촌공사_농업기반시설 시설제원_저수지_2020.csv,.csv,0.631,2026-05-27 20:27:04,cp949,표준코드 | 시설명 | 소재지 | 착공년도 | 준공년도 | 종별 | 구분 | 유역면적 | 홍수면적 | 만수면적 | 수혜면적 | 한발빈도 | 홍수빈도 | 제체형식 | 제체체적 | 제체길이 | 제체높이 | 총저수량 | 유효저수량 | 사수량 | 취수형식 | 홍수위 | 만수위 | 사수위,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_농업기반시설 시설제원_저수지\한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv,한국농어촌공사_농업기반시설 시설제원_저수지_20250925.csv,.csv,0.596,2026-05-27 20:27:04,cp949,표준코드 | 본부 | 지사 | 시설명 | 소재지 | 착공년도 | 준공년도 | 종별 | 구분 | 유역면적 | 홍수면적 | 만수면적 | 수혜면적 | 한발빈도 | 홍수빈도 | 제체형식 | 제체길이 | 제체높이 | 총저수량 | 유효저수량 | 사수량 | 취수형식 | 홍수위 | 만수위 | 사수위 | 연락처,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_농업기반시설 시설제원_저수지\한국농어촌공사_농업기반시설_시설제원_저수지_2024.csv,한국농어촌공사_농업기반시설_시설제원_저수지_2024.csv,.csv,0.616,2026-05-27 20:27:04,cp949,표준코드 | 본부 | 지사 | 시설명 | 소재지 | 착공년도 | 준공년도 | 종별 | 구분 | 유역면적 | 홍수면적 | 만수면적 | 수혜면적 | 한발빈도 | 홍수빈도 | 제체형식 | 제체체적 | 제체길이 | 제체높이 | 총저수량 | 유효저수량 | 사수량 | 취수형식 | 홍수위 | 만수위 | 사수위 | 연락처,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_농업기반시설 시설제원_저수지\한국농어촌공사_농업기반시설제원_저수지_2022.csv,한국농어촌공사_농업기반시설제원_저수지_2022.csv,.csv,0.478,2026-05-27 20:27:04,cp949,표준코드 | 시설명 | 소재지 | 착공년도 | 준공년도 | 종별 | 구분 | 유역면적 | 홍수면적 | 만수면적 | 수혜면적 | 한발빈도 | 홍수빈도 | 제체형식 | 제체체적 | 제체길이 | 제체높이 | 총저수량 | 유효저수량 | 사수량 | 취수형식 | 홍수위 | 만수위 | 사수위,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_농업기반시설 시설제원_저수지\한국농어촌공사_농업기반시설제원_저수지_2023.csv,한국농어촌공사_농업기반시설제원_저수지_2023.csv,.csv,0.616,2026-05-27 20:27:04,cp949,표준코드 | 본부 | 지사 | 시설명 | 소재지 | 착공년도 | 준공년도 | 종별 | 구분 | 유역면적 | 홍수면적 | 만수면적 | 수혜면적 | 한발빈도 | 홍수빈도 | 제체형식 | 제체체적 | 제체길이 | 제체높이 | 총저수량 | 유효저수량 | 사수량 | 취수형식 | 홍수위 | 만수위 | 사수위 | 연락처,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_전국 저수지 일별 저수율\한국농어촌공사_전국 저수지 일별 저수율 2021.csv,한국농어촌공사_전국 저수지 일별 저수율 2021.csv,.csv,4.954,2026-05-27 20:27:04,cp949,저수지명 | 위치 | 유효저수량(천m3) | 2021-01-01 | 2021-01-02 | 2021-01-03 | 2021-01-04 | 2021-01-05 | 2021-01-06 | 2021-01-07 | 2021-01-08 | 2021-01-09 | 2021-01-10 | 2021-01-11 | 2021-01-12 | 2021-01-13 | 2021-01-14 | 2021-01-15 | 2021-01-16 | 2021-01-17 | 2021-01-18 | 2021-01-19 | 2021-01-20 | 2021-01-21 | 2021-01-22 | 2021-01-23 | 2021-01-24 | 2021-01-25 | 2021-01-26 | 2021-01-27 | 2021-01-28 | 2021-01-29 | 2021-01-30 | 2021-01-31 | 2021-02-01 | 2021-02-02 | 2021-02-03 | 2021-02-04 | 2021-02-05 | 2021-02-06,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_전국 저수지 일별 저수율\한국농어촌공사_전국 저수지 일별 저수율 2023 V3.csv,한국농어촌공사_전국 저수지 일별 저수율 2023 V3.csv,.csv,4.995,2026-05-27 20:27:04,cp949,저수지명 | 위치 | 유효저수량(천m3) | 2023-01-01 | 2023-01-02 | 2023-01-03 | 2023-01-04 | 2023-01-05 | 2023-01-06 | 2023-01-07 | 2023-01-08 | 2023-01-09 | 2023-01-10 | 2023-01-11 | 2023-01-12 | 2023-01-13 | 2023-01-14 | 2023-01-15 | 2023-01-16 | 2023-01-17 | 2023-01-18 | 2023-01-19 | 2023-01-20 | 2023-01-21 | 2023-01-22 | 2023-01-23 | 2023-01-24 | 2023-01-25 | 2023-01-26 | 2023-01-27 | 2023-01-28 | 2023-01-29 | 2023-01-30 | 2023-01-31 | 2023-02-01 | 2023-02-02 | 2023-02-03 | 2023-02-04 | 2023-02-05 | 2023-02-06,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_전국 저수지 일별 저수율\한국농어촌공사_전국 저수지 일별 저수율 2024(V4).csv,한국농어촌공사_전국 저수지 일별 저수율 2024(V4).csv,.csv,5.007,2026-05-27 20:27:04,cp949,저수지명 | 위치 | 유효저수량(천m3) | 2024-01-01 | 2024-01-02 | 2024-01-03 | 2024-01-04 | 2024-01-05 | 2024-01-06 | 2024-01-07 | 2024-01-08 | 2024-01-09 | 2024-01-10 | 2024-01-11 | 2024-01-12 | 2024-01-13 | 2024-01-14 | 2024-01-15 | 2024-01-16 | 2024-01-17 | 2024-01-18 | 2024-01-19 | 2024-01-20 | 2024-01-21 | 2024-01-22 | 2024-01-23 | 2024-01-24 | 2024-01-25 | 2024-01-26 | 2024-01-27 | 2024-01-28 | 2024-01-29 | 2024-01-30 | 2024-01-31 | 2024-02-01 | 2024-02-02 | 2024-02-03 | 2024-02-04 | 2024-02-05 | 2024-02-06,,,
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_전국 저수지 일별 저수율\한국농어촌공사_전국 저수지 일별 저수율_2022_v3.csv,한국농어촌공사_전국 저수지 일별 저수율_2022_v3.csv,.csv,6.763,2026-05-27 20:27:04,cp949,저수지명 | 위치 | 유효저수량(천m3) | 2022-01-01 | 2022-01-02 | 2022-01-03 | 2022-01-04 | 2022-01-05 | 2022-01-06 | 2022-01-07 | 2022-01-08 | 2022-01-09 | 2022-01-10 | 2022-01-11 | 2022-01-12 | 2022-01-13 | 2022-01-14 | 2022-01-15 | 2022-01-16 | 2022-01-17 | 2022-01-18 | 2022-01-19 | 2022-01-20 | 2022-01-21 | 2022-01-22 | 2022-01-23 | 2022-01-24 | 2022-01-25 | 2022-01-26 | 2022-01-27 | 2022-01-28 | 2022-01-29 | 2022-01-30 | 2022-01-31 | 2022-02-01 | 2022-02-02 | 2022-02-03 | 2022-02-04 | 2022-02-05 | 2022-02-06,,,
