collection_date_kst,tm1,tm2,source,request_url_without_key,raw_path,raw_bytes,raw_rows,filtered_chungnam_aws_rows,station_count,sigungu_count,status
20260528,20260428,20260528,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260428&tm2=20260528&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data\raw\live_snapshots\20260528\kma_aws_daily_rainfall_30d_raw.txt,1432136,22402,2550,83,15,SUCCESS
20260528,20260428,20260528,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260428&tm2=20260528&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data\raw\live_snapshots\20260528\kma_aws_daily_rainfall_30d_raw.txt,1432136,22402,2550,83,15,SUCCESS
20260528,20260428,20260528,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260428&tm2=20260528&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260528/kma_aws_daily_rainfall_30d_raw.txt,1432136,22402,2550,83,15,SUCCESS
20260529,20260429,20260529,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260429&tm2=20260529&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260529/kma_aws_daily_rainfall_30d_raw.txt,1432209,22403,2550,83,15,SUCCESS
20260530,20260430,20260530,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260430&tm2=20260530&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260530/kma_aws_daily_rainfall_30d_raw.txt,1432274,22404,2550,83,15,SUCCESS
20260601,20260502,20260601,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260502&tm2=20260601&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260601/kma_aws_daily_rainfall_30d_raw.txt,1432349,22405,2550,83,15,SUCCESS
20260603,20260504,20260603,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260504&tm2=20260603&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260603/kma_aws_daily_rainfall_30d_raw.txt,1432757,22411,2554,83,15,SUCCESS
20260605,20260506,20260605,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260506&tm2=20260605&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260605/kma_aws_daily_rainfall_30d_raw.txt,1432885,22413,2558,83,15,SUCCESS
20260606,20260507,20260606,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260507&tm2=20260606&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260606/kma_aws_daily_rainfall_30d_raw.txt,1432946,22414,2560,83,15,SUCCESS
20260610,20260511,20260610,KMA_APIHUB_AWS_DAILY_RAINFALL_PERIOD,https://apihub.kma.go.kr/api/typ01/url/sfc_aws_day.php?tm1=20260511&tm2=20260610&obs=rn_day&stn=0&disp=0&help=0&authKey=***,data/raw/live_snapshots/20260610/kma_aws_daily_rainfall_30d_raw.txt,1432369,22405,2564,83,15,SUCCESS
