표준코드,facility_name,address,benefit_area,total_capacity,effective_capacity,basin_area,full_water_area,start_year,completion_year,source_file,본부,지사,sigungu
4413010010,천호,충청남도 천안시 동남구 신부동,4.0,1071.0,1071.0,850.0,33.0,1952-04-10,1957-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010011,업성,충청남도 천안시 서북구 업성동,142.0,952.0,952.0,507.0,37.0,1965-12-06,1972-01-01,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010016,문암,충청남도 천안시 동남구 안서동,53.0,562.0,562.0,168.0,7.0,1976-12-27,1978-01-01,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010018,매주,충청남도 천안시 서북구 성환읍 매주리,27.0,192.0,177.0,130.0,8.0,1971-01-01,1972-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010019,율금,충청남도 천안시 서북구 직산읍 석곡리,27.0,129.0,121.0,65.0,6.0,1970-12-31,1972-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010020,왕림,충청남도 천안시 서북구 성환읍 왕림리,19.0,49.0,49.0,60.0,2.0,1970-12-31,1972-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010021,어룡,충청남도 천안시 서북구 성환읍 어룡리,60.0,93.0,92.0,107.0,5.0,1939-11-09,1940-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010022,학정,충청남도 천안시 서북구 성환읍 학정리,214.0,775.0,775.0,706.0,40.0,1927-12-26,1929-01-15,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010023,남창,충청남도 천안시 서북구 성거읍 송남리,37.0,145.0,145.0,100.0,4.0,1956-01-12,1959-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010024,천흥,충청남도 천안시 서북구 성거읍 천흥리,206.0,839.0,830.0,500.0,14.0,1956-02-02,1959-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010025,성거,충청남도 천안시 서북구 성거읍 천흥리,15.0,72.0,72.0,100.0,4.0,1972-09-14,1973-11-15,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010029,신월,충청남도 천안시 서북구 성거읍 신월리,27.0,207.0,196.0,94.0,8.0,1965-12-07,1972-01-01,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010033,용연,충청남도 천안시 동남구 목천읍 서흥리,421.0,3050.0,3050.0,2070.0,49.0,1956-09-25,1962-12-31,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010039,대정,충청남도 천안시 동남구 성남면 대정리,147.0,755.0,739.0,383.0,16.0,1952-04-02,1955-06-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010045,발산,충청남도 천안시 동남구 수신면 발산리,11.0,76.0,64.0,69.0,2.0,1952-04-29,1955-06-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010069,직산,충청남도 천안시 서북구 직산읍 삼은리,21.0,85.0,84.0,217.0,7.0,1937-12-31,1939-10-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010070,양전,충청남도 천안시 서북구 직산읍 양당리,263.0,385.0,369.0,360.0,23.0,1944-10-25,1949-05-10,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010072,마정,충청남도 천안시 서북구 직산읍 마정리,88.0,451.0,438.0,360.0,18.0,1944-10-30,1949-05-10,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010074,입장,충청남도 천안시 서북구 입장면 기로리,352.0,636.0,622.0,752.0,18.0,1943-12-06,1952-05-31,농업기반시설_저수지_2021_v3.csv,,,천안시
4413010075,풍년,충청남도 천안시 서북구 입장면 시장리,292.0,1264.0,1172.0,683.0,31.0,1953-12-30,1957-12-30,농업기반시설_저수지_2021_v3.csv,,,천안시
4415010037,기산,충청남도 공주시 계룡면 기산리,140.0,648.0,643.0,303.0,12.0,1976-07-22,1978-12-30,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010042,계룡,충청남도 공주시 계룡면 하대리,450.0,4717.0,4717.0,1574.0,72.0,1954-02-10,1964-12-31,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010045,경천(양화),충청남도 공주시 계룡면 양화리,297.0,2030.0,2028.0,800.0,40.0,1963-01-10,1967-12-30,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010062,월곡,충청남도 공주시 의당면 월곡리,36.0,175.0,175.0,253.0,5.0,1989-02-10,1989-12-30,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010063,유계,충청남도 공주시 의당면 유계리,95.0,761.0,748.0,190.0,8.0,1982-09-09,1989-12-30,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010066,중흥,충청남도 공주시 의당면 중흥리,275.0,2777.0,2680.0,920.0,34.0,1986-08-15,1999-04-17,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010067,요룡,충청남도 공주시 의당면 요룡리,106.0,1495.0,1364.0,430.0,13.0,1982-02-08,1989-12-30,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010070,평정,충청남도 공주시 정안면 평정리,83.0,566.0,558.0,294.0,7.0,1990-01-01,1997-01-01,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010071,정안,충청남도 공주시 정안면 고성리,187.0,2461.0,2460.0,676.0,28.0,1968-11-01,1976-12-31,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010080,영천(한천),충청남도 공주시 우성면 한천리,283.0,2585.0,2530.0,722.0,24.0,1957-01-08,1961-12-31,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010083,우목,충청남도 공주시 우성면 용봉리,321.0,1453.0,1430.0,1750.0,26.0,1982-02-23,1988-12-30,농업기반시설_저수지_2021_v3.csv,,,공주시
4415010094,봉명,충청남도 공주시 계룡면 봉명리,15.0,18.0,18.0,50.0,1.0,1996-04-01,1997-12-31,농업기반시설_저수지_2021_v3.csv,,,공주시
4418010005,평리,충청남도 보령시 웅천읍 평리,26.0,189.0,187.0,141.0,3.0,1992-10-01,1998-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
4418010006,구,충청남도 보령시 웅천읍 수부리,17.0,45.0,43.0,109.0,1.0,1945-01-01,1946-12-31,농업기반시설_저수지_2021_v3.csv,,,보령시
