sigungu,facility_reservoir_count,total_benefit_area,facility_total_capacity,facility_effective_capacity,facility_basin_area,facility_full_water_area
공주시,13,13941.4,119859.71,117803.52,48192.0,1630.49
금산군,9,4291.2,34125.08,33343.16,20656.8,503.4
논산시,26,39527.4,230190.84,228506.28,147257.1,4547.58
당진시,10,7698.0,35383.2,33490.1,37309.0,1329.28
보령시,30,26856.0,182943.9,180175.5,78697.0,3020.58
부여군,11,19692.0,133456.16,130507.39,48450.4,3083.68
서산시,16,29463.0,177606.12,172026.29,74760.0,3540.33
서천군,7,32016.0,162157.59,151511.11,55728.0,3435.4300000000003
아산시,18,29437.2,152667.97,150244.01,92947.0,4304.7
예산군,13,52008.0,367482.3,359233.39999999997,256500.0,7768.05
천안시,21,14848.4,70721.86,69440.65,50256.0,2008.8
청양군,28,18832.8,155278.47,148811.37,51119.1,1698.33
태안군,19,10561.8,62534.21,56894.8,24428.1,2279.71
홍성군,9,10816.2,62995.8,61364.1,43955.0,1521.09
