sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
부여군,29987,29709,278,0,761432.7000000002,29686,686998.4000000001,29709,413,29987,25.64955534595433,23.124251910195568,100.0,100.0,100.0,0.0,매우높음
논산시,18247,18024,223,0,640504.41,18022,510175.7000000002,18024,460,18247,35.54014038397514,28.305353972481146,60.33783783783784,83.85146044660229,69.74328688134362,30.25671311865638,높음
공주시,23861,23429,432,0,195950.64,5153,693269.8,23429,228,23861,38.026516592276344,29.590242861411074,79.30405405405405,24.48657454226128,57.37706224933694,42.62293775066306,보통
금산군,11527,11291,236,0,187312.5,4462,298094.9,11291,163,11527,41.97949350067235,26.40110707643256,37.63513513513514,23.333053348355477,31.914302420423272,68.08569757957673,낮음
홍성군,5643,5395,248,0,243921.47,5068,274828.0,5395,637,5643,48.12972967640095,50.94124189063948,17.756756756756754,30.89251020598659,23.01105813644869,76.9889418635513,낮음
서천군,4192,4037,155,0,162082.5,4034,135196.5,4037,178,4192,40.17910262766485,33.48934852613327,12.85472972972973,19.96388594400184,15.698392215438574,84.30160778456143,낮음
보령시,4356,4096,260,0,141848.6,3681,162568.5,4096,321,4356,38.535343656615055,39.6895751953125,13.408783783783784,17.26188846707156,14.950025657098895,85.04997434290111,낮음
아산시,3050,2798,252,0,176740.5,2125,183937.9,2798,561,3050,83.172,65.73906361686919,8.996621621621621,21.921288076899806,14.166488203732895,85.8335117962671,낮음
청양군,2968,2830,138,0,142225.6,2759,140606.5,2830,361,2968,51.549691917361365,49.684275618374556,8.719594594594595,17.31223234782627,12.156649695887264,87.84335030411273,낮음
예산군,2662,2081,581,0,115577.5,2064,121416.5,2081,377,2662,55.9968507751938,58.345266698702545,7.685810810810811,13.753694499710686,10.112964286370762,89.88703571362925,낮음
태안군,2305,2159,146,0,56400.69999999995,1448,79471.69,1717,107,2305,38.950759668508255,46.285200931857894,6.47972972972973,5.85133438659319,6.2283715924751135,93.77162840752489,낮음
계룡시,1693,1678,15,0,39705.279999999984,1678,80285.0,1678,27,1693,23.662264600715126,47.845649582836714,4.412162162162162,3.621858965824514,4.096040883627103,95.9039591163729,낮음
서산시,1167,833,334,0,47152.19999999999,833,44232.0,832,184,1167,56.605282112845124,53.16346153846154,2.635135135135135,4.616306850359956,3.4276038212250635,96.57239617877494,낮음
천안시,581,397,184,0,39924.0,394,31973.0,396,224,581,101.32994923857868,80.73989898989899,0.6554054054054054,3.6510664289509625,1.8536698148236281,98.14633018517637,낮음
당진시,387,216,171,0,12583.0,216,15414.0,216,0,387,58.254629629629626,71.36111111111111,0.0,0.0,0.0,100.0,낮음
