sigungu,source_zip,source_type,source_dbf,well_id,pnu,si_do,si_gun_gu,address,well_use,well_depth,pump_capacity,public_private,dev_date,year,snapshot_score
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600189,4415025026106690003,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600291,4415025026103690006,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600187,4415025026106500003,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600144,4415025026107200001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600153,4415025026107060000,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600349,4415025026104950012,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600104,4415025026108610051,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600358,4415025026103780004,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600375,4415025026103780004,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600323,4415025026103430001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600103,4415025026200060001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600289,4415025026103670005,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600229,4415025026106730009,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700026,4415025027102600000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700037,4415025027101990003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700090,4415025027100880007,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700093,4415025027100410002,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700049,4415025027103040003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700019,4415025027102670001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700023,4415025027102590001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700024,4415025027102620000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700012,4415025027102750000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700038,4415025027103620003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700017,4415025027102170002,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700112,4415025027100380000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700149,4415025027104070003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700151,4415025027104120001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700089,4415025027100880009,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700088,4415025027100880008,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700096,4415025027100650001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700003,4415025027102520005,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700153,4415025027104120008,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700035,4415025027103100000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700039,4415025027103100000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700006,4415025027103030000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700137,4415025027101190003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503200002,4415025032103140002,충청남도,공주시,충청남도 공주시 유구읍 세동리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503200007,4415025032102110003,충청남도,공주시,충청남도 공주시 유구읍 세동리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503200004,4415025032103100000,충청남도,공주시,충청남도 공주시 유구읍 세동리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503200009,4415025032100980000,충청남도,공주시,충청남도 공주시 유구읍 세동리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503200011,4415025032100190000,충청남도,공주시,충청남도 공주시 유구읍 세동리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503200006,4415025032102520000,충청남도,공주시,충청남도 공주시 유구읍 세동리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300043,4415025033104230002,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300061,4415025033104530008,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300084,4415025033103560002,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300034,4415025033105670001,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300127,4415025033107060000,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300096,4415025033101490001,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300004,4415025033105270009,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300061,4415025023100600007,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300059,4415025023100600005,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300045,4415025023101730000,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502300037,4415025023101520003,충청남도,공주시,충청남도 공주시 유구읍 석남리,3.0,30.0,,2.0,,2023,20231231
