sigungu,well_trend_first_year,well_trend_latest_year,well_count_first,well_count_latest,well_count_growth_rate,pump_capacity_first,pump_capacity_latest,well_growth_index
천안시,2020,2025,15,184,1126.6666666666667,3869.0,0.0,100.0
공주시,2020,2025,23723,432,-98.17898242212199,201389.64,0.0,0.07695544236215573
보령시,2020,2025,4096,260,-93.65234375,141848.6,0.0,0.4462391297126947
아산시,2020,2025,2800,252,-91.0,177040.5,0.0,0.6626176284325854
서산시,2020,2025,477,334,-29.979035639413,22484.0,0.0,5.640714701552831
논산시,2020,2025,18085,223,-98.76693392314073,635977.41,0.0,0.02899029338380764
계룡시,2020,2025,1709,15,-99.12229373902866,41728.57999999989,0.0,0.0
당진시,2020,2025,0,171,,0.0,0.0,
금산군,2020,2025,15101,236,-98.43718959009337,218791.1,0.0,0.05589087282272051
부여군,2020,2025,30925,278,-99.10105092966856,774807.2000000002,0.0,0.0017329907550376945
서천군,2020,2025,4039,155,-96.1624164397128,162229.5,0.0,0.24146711994667028
청양군,2020,2025,4110,138,-96.64233576642336,189620.6,0.0,0.20231524778820997
홍성군,2020,2025,5408,248,-95.41420118343196,244121.47,0.0,0.30250660394016365
예산군,2020,2025,2081,581,-72.08073041806824,115577.5,0.0,2.206053749416258
태안군,2020,2025,2167,146,-93.26257498846331,56610.69999999995,0.0,0.4780365087172899
