sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
천안시,1,1,0,0,150.0,1,210.0,1,1,1,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,150.0,210.0,0.0659195781147,34.88372093023256,13.993040118961844,86.00695988103816,낮음
공주시,1517,1517,0,0,212.0,8,45454.0,1517,5,1517,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,26.5,29.96308503625577,100.0,49.30232558139535,79.72093023255815,20.27906976744185,매우높음
보령시,1,1,0,0,0.0,0,80.0,1,1,1,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,80.0,0.0659195781147,0.0,0.03955174686882,99.96044825313118,낮음
아산시,6,6,0,0,30.0,2,180.0,6,0,6,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,15.0,30.0,0.3955174686882004,6.976744186046512,3.028008155631525,96.97199184436847,낮음
서산시,2,2,0,0,65.0,2,43.0,2,0,2,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,32.5,21.5,0.1318391562294001,15.11627906976744,6.125615121644617,93.8743848783554,낮음
논산시,2,2,0,0,35.0,2,47.0,2,0,2,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,17.5,23.5,0.1318391562294001,8.13953488372093,3.334917447226013,96.66508255277398,낮음
계룡시,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,,0.0,0.0,0.0,100.0,낮음
당진시,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,,0.0,0.0,0.0,100.0,낮음
금산군,44,44,0,0,24.0,1,933.0,44,0,44,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,24.0,21.204545454545453,2.900461437046803,5.5813953488372094,3.9728350017629657,96.02716499823704,낮음
부여군,3,3,0,0,40.0,2,58.0,3,0,3,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,20.0,19.33333333333333,0.1977587343441002,9.30232558139535,3.8395854731646,96.1604145268354,낮음
서천군,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,,0.0,0.0,0.0,100.0,낮음
청양군,1,1,0,0,0.0,0,70.0,1,1,1,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,70.0,0.0659195781147,0.0,0.03955174686882,99.96044825313118,낮음
홍성군,20,20,0,0,430.0,11,1265.0,20,10,20,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,39.09090909090909,63.25,1.3183915622940012,100.0,40.7910349373764,59.2089650626236,보통
예산군,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,,0.0,0.0,0.0,100.0,낮음
태안군,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_20231231.zip,groundwater_well,2023,20231231,,,0.0,0.0,0.0,100.0,낮음
천안시,1,1,0,0,150.0,1,210.0,1,1,1,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,150.0,210.0,0.0657462195923734,34.88372093023256,13.992936103848448,86.00706389615155,낮음
공주시,1521,1521,0,0,212.0,8,45574.0,1521,5,1521,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,26.5,29.96318211702827,100.0,49.30232558139535,79.72093023255815,20.27906976744185,매우높음
보령시,1,1,0,0,0.0,0,80.0,1,1,1,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,,80.0,0.0657462195923734,0.0,0.039447731755424,99.96055226824456,낮음
아산시,6,6,0,0,30.0,2,180.0,6,0,6,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,15.0,30.0,0.3944773175542406,6.976744186046512,3.027384064951149,96.97261593504884,낮음
서산시,2,2,0,0,65.0,2,43.0,2,0,2,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,32.5,21.5,0.1314924391847468,15.11627906976744,6.125407091417825,93.87459290858216,낮음
논산시,2,2,0,0,35.0,2,47.0,2,0,2,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,17.5,23.5,0.1314924391847468,8.13953488372093,3.3347094169992206,96.66529058300078,낮음
계룡시,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,,,0.0,0.0,0.0,100.0,낮음
당진시,0,0,0,0,0.0,0,0.0,0,0,0,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,,,0.0,0.0,0.0,100.0,낮음
금산군,44,44,0,0,24.0,1,933.0,44,0,44,gdb_well_info_new_2024.zip,groundwater_well,2024,20240101,24.0,21.204545454545453,2.8928336620644317,5.5813953488372094,3.9682583367735424,96.03174166322646,낮음
