sigungu,year,rice_households,food_crop_households,vegetable_households,special_crop_households,fruit_households,medicinal_households,flower_households,other_households,livestock_households,total_households,rice_ratio,food_crop_ratio,vegetable_ratio,special_crop_ratio,fruit_ratio,medicinal_ratio,flower_ratio,other_ratio,livestock_ratio,crop_household_demand_index_raw,crop_household_demand_index,farm_household_scale_index,source_file
계룡시,2025,203.0,108.0,38.0,22.0,65.0,5.0,8.0,50.0,14.0,513.0,0.39571150097465885,0.21052631578947367,0.07407407407407407,0.042884990253411304,0.1267056530214425,0.009746588693957114,0.015594541910331383,0.09746588693957114,0.02729044834307992,0.5972709551656918,27.483690610070628,0.0,충청남도_재배작물별 농가현황.csv
공주시,2025,4810.0,987.0,767.0,327.0,1115.0,24.0,72.0,316.0,863.0,9281.0,0.51826311819847,0.10634629889020579,0.08264195668570197,0.03523327227669432,0.12013791617282621,0.0025859282404913264,0.007757784721473979,0.03404805516646913,0.09298566964766727,0.6481198146751428,44.466462609378105,82.73259105491603,충청남도_재배작물별 농가현황.csv
금산군,2025,1590.0,777.0,681.0,1540.0,239.0,147.0,32.0,870.0,125.0,6001.0,0.2649558406932178,0.12947842026328946,0.11348108648558573,0.25662389601733043,0.039826695550741545,0.024495917347108816,0.005332444592567906,0.14497583736043992,0.02082986168971838,0.5149808365272455,0.0,51.78335535006605,충청남도_재배작물별 농가현황.csv
논산시,2025,5345.0,670.0,1891.0,263.0,595.0,19.0,45.0,677.0,377.0,9882.0,0.5408824124671119,0.0678000404776361,0.19135802469135801,0.0266140457397288,0.06021048370775147,0.0019226877150374418,0.004553734061930784,0.06850839910949201,0.03815017202995345,0.6946670714430276,60.012562492607245,88.40347235327421,충청남도_재배작물별 농가현황.csv
당진시,2025,6877.0,1580.0,547.0,79.0,247.0,5.0,51.0,388.0,403.0,10177.0,0.6757394124005109,0.1552520389112705,0.053748648914218336,0.007762601945563526,0.02427041367790115,0.0004913039206052865,0.0050112999901739215,0.038125184238970225,0.03959909600078609,0.8143952048737348,100.0,91.18701641819212,충청남도_재배작물별 농가현황.csv
보령시,2025,5269.0,898.0,629.0,204.0,181.0,15.0,25.0,311.0,260.0,7792.0,0.6762063655030801,0.11524640657084188,0.08072381930184805,0.026180698151950718,0.023228952772073923,0.0019250513347022586,0.003208418891170431,0.03991273100616016,0.033367556468172486,0.8077130390143737,97.76825477806452,68.68277033402529,충청남도_재배작물별 농가현황.csv
부여군,2025,4895.0,688.0,1551.0,345.0,906.0,35.0,46.0,437.0,376.0,9279.0,0.5275352947515896,0.07414592089664834,0.16715163271904301,0.03718073068218558,0.09763983187843518,0.003771958185149262,0.004957430757624744,0.04709559219743507,0.04052160793188921,0.6778855480116391,54.40778022244961,82.71371956973013,충청남도_재배작물별 농가현황.csv
서산시,2025,6563.0,1351.0,1863.0,204.0,187.0,22.0,153.0,428.0,311.0,11082.0,0.5922216206460927,0.12190940263490345,0.16811044937736871,0.018408229561451002,0.016874210431330083,0.001985201227215304,0.013806172171088251,0.038621187511279555,0.02806352643927089,0.7689767190037898,84.83089301266075,99.72636346480468,충청남도_재배작물별 농가현황.csv
서천군,2025,3881.0,635.0,658.0,210.0,121.0,7.0,17.0,246.0,165.0,5940.0,0.6533670033670034,0.1069023569023569,0.11077441077441078,0.03535353535353535,0.020370370370370372,0.0011784511784511784,0.002861952861952862,0.04141414141414142,0.027777777777777776,0.7977272727272727,94.43315555011255,51.20777505189659,충청남도_재배작물별 농가현황.csv
아산시,2025,5413.0,1009.0,760.0,244.0,687.0,26.0,43.0,309.0,356.0,8847.0,0.611845823442975,0.11404996043856674,0.08590482649485702,0.027579970611506726,0.07765344184469311,0.0029388493274556345,0.0048604046569458575,0.034927093930145814,0.04023962925285408,0.745665197242003,77.04518723957968,78.63747876957916,충청남도_재배작물별 농가현황.csv
예산군,2025,5207.0,853.0,774.0,283.0,907.0,27.0,79.0,548.0,595.0,9273.0,0.5615227003127359,0.09198749056400302,0.08346813329019735,0.030518710234012727,0.09781084870052842,0.0029116790682626984,0.008519357273805673,0.05909630108918365,0.06416477946727057,0.6798554944462417,55.065713388944445,82.65710511417248,충청남도_재배작물별 농가현황.csv
천안시,4050,5149.0,1745.0,1021.0,358.0,1834.0,55.0,123.0,364.0,462.0,11111.0,0.4634146341463415,0.15705157051570515,0.09189091890918909,0.03222032220322203,0.16506165061650616,0.004950049500495005,0.01107011070110701,0.03276032760327603,0.04158041580415804,0.6321843218432184,39.14424212946997,100.0,충청남도_재배작물별 농가현황.csv
청양군,2025,3018.0,636.0,1141.0,220.0,467.0,181.0,32.0,296.0,364.0,6355.0,0.4749016522423289,0.1000786782061369,0.17954366640440597,0.03461841070023604,0.07348544453186467,0.028481510621557828,0.005035405192761605,0.04657749803304485,0.05727773406766326,0.648575924468922,44.61879657928678,55.123608227967544,충청남도_재배작물별 농가현황.csv
태안군,2025,3000.0,1090.0,1530.0,98.0,68.0,10.0,110.0,578.0,96.0,6580.0,0.45592705167173253,0.1656534954407295,0.23252279635258358,0.014893617021276596,0.01033434650455927,0.001519756838905775,0.016717325227963525,0.0878419452887538,0.01458966565349544,0.6941033434650455,59.8242856303126,57.24665031137951,충청남도_재배작물별 농가현황.csv
홍성군,2025,5457.0,1093.0,1299.0,352.0,208.0,17.0,62.0,447.0,1094.0,10029.0,0.5441220460664075,0.10898394655499052,0.1295243793000299,0.03509821517598963,0.02073985442217569,0.0016950842556585901,0.006182071991225446,0.0445707448399641,0.10908365739355869,0.6992122843753116,61.53059683323852,89.79052651443669,충청남도_재배작물별 농가현황.csv
