date,sigungu,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,reservoir_rate_risk_from_drought,weather_drought_risk_score,record_count,weather_drought_level
2024-12-31,계룡시,0,100.0,100.0,100.0,0.0,,0.0,0.0,1,낮음
2024-12-31,공주시,0,87.0,72.3,120.3,0.0,,13.0,4.333333333333333,1,낮음
2024-12-31,금산군,0,81.3,72.4,112.4,0.0,,18.700000000000003,6.233333333333334,1,낮음
2024-12-31,논산시,0,91.2,79.2,115.2,0.0,,8.799999999999997,2.9333333333333322,1,낮음
2024-12-31,당진시,0,68.8,80.4,85.6,14.400000000000006,,31.200000000000003,15.200000000000003,1,낮음
2024-12-31,보령시,0,94.0,80.9,116.2,0.0,,6.0,2.0,1,낮음
2024-12-31,부여군,0,85.9,76.9,111.8,0.0,,14.099999999999994,4.699999999999998,1,낮음
2024-12-31,서산시,0,85.6,81.5,105.0,0.0,,14.400000000000006,4.800000000000002,1,낮음
2024-12-31,서천군,0,93.9,79.8,117.6,0.0,,6.099999999999994,2.0333333333333314,1,낮음
2024-12-31,아산시,0,92.6,86.6,106.8,0.0,,7.400000000000006,2.4666666666666686,1,낮음
2024-12-31,예산군,0,81.7,84.7,96.5,3.5,,18.299999999999997,7.266666666666666,1,낮음
2024-12-31,천안시,0,86.4,82.4,104.9,0.0,,13.599999999999994,4.533333333333331,1,낮음
2024-12-31,청양군,0,90.3,80.3,112.6,0.0,,9.700000000000003,3.2333333333333343,1,낮음
2024-12-31,태안군,0,86.5,88.3,98.0,2.0,,13.5,5.166666666666667,1,낮음
2024-12-31,홍성군,0,81.7,79.2,103.2,0.0,,18.299999999999997,6.099999999999999,1,낮음
