sigungu,date,sido,reservoir_rate_from_drought,normal_rate,normal_ratio,rainfall,drought_stage_score,reservoir_rate_risk,normal_ratio_deficit_score,source_file,source_path
천안시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
공주시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
보령시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
아산시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
서산시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
논산시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
계룡시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
당진시,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
금산군,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
부여군,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
서천군,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
청양군,2022-01-01,충남,,,,,0,,,tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv,data\raw\04_weather_drought\한국농어촌공사 가뭄예경보자료\tb_cd_drought_alt_da_가뭄예경보자료_최종2_2022.csv
