sigungu,year,farm_households_agri_stats,farm_population,farm_population_male,farm_population_female,farm_population_index,farm_households_agri_stats_index,facility_reservoir_count,total_benefit_area,facility_total_capacity,facility_effective_capacity,facility_basin_area,facility_full_water_area,benefit_area_index,reservoir_capacity_index,reservoir_facility_count_index,year_crop,rice_households,food_crop_households,vegetable_households,special_crop_households,fruit_households,medicinal_households,flower_households,other_households,livestock_households,total_households,rice_ratio,food_crop_ratio,vegetable_ratio,special_crop_ratio,fruit_ratio,medicinal_ratio,flower_ratio,other_ratio,livestock_ratio,crop_household_demand_index_raw,crop_household_demand_index,farm_household_scale_index,source_file,year_rice,rice_area,rice_yield_10a,rice_production,rice_area_index,rice_production_index,rice_productivity_index,crop_vulnerability_index,crop_vulnerability_level,agri_impact_index,agri_impact_level
예산군,,,,,,,,13.0,52008.0,367482.3,359233.4,256500.0,7768.05,100.0,100.0,43.333333333333336,2025,5207.0,853.0,774.0,283.0,907.0,27.0,79.0,548.0,595.0,9273.0,0.5615227003127359,0.091987490564003,0.0834681332901973,0.0305187102340127,0.0978108487005284,0.0029116790682626,0.0085193572738056,0.0590963010891836,0.0641647794672705,0.6798554944462417,55.065713388944445,82.65710511417248,충청남도_재배작물별 농가현황.csv,2025,9678.0,566.0,54780.0,51.38963408090997,48.55513580291122,61.627906976744185,58.68838526907645,주의,77.1313341427776,경계
서산시,,,,,,,,16.0,29463.0,177606.12,172026.29,74760.0,3540.33,56.65089986155976,47.88705337532646,53.333333333333336,2025,6563.0,1351.0,1863.0,204.0,187.0,22.0,153.0,428.0,311.0,11082.0,0.5922216206460927,0.1219094026349034,0.1681104493773687,0.018408229561451,0.01687421043133,0.0019852012272153,0.0138061721710882,0.0386211875112795,0.0280635264392708,0.7689767190037898,84.83089301266075,99.72636346480468,충청남도_재배작물별 농가현황.csv,2025,16391.0,544.0,89191.0,87.40744715098187,79.36010599251607,36.04651162790697,87.6335075846481,심각,66.84299258876399,경계
논산시,,,,,,,,26.0,39527.4,230190.84,228506.28,147257.1,4547.58,76.002538071066,63.60941939140402,86.66666666666667,2025,5345.0,670.0,1891.0,263.0,595.0,19.0,45.0,677.0,377.0,9882.0,0.5408824124671119,0.0678000404776361,0.191358024691358,0.0266140457397288,0.0602104837077514,0.0019226877150374,0.0045537340619307,0.068508399109492,0.0381501720299534,0.6946670714430276,60.012562492607245,88.40347235327421,충청남도_재배작물별 농가현황.csv,2025,10418.0,539.0,56164.0,55.36001716922416,49.79410237587954,30.23255813953488,62.994839116385705,경계,62.84830295755991,경계
당진시,,,,,,,,10.0,7698.0,35383.2,33490.1,37309.0,1329.28,14.801568989386249,9.322657637068268,33.33333333333333,2025,6877.0,1580.0,547.0,79.0,247.0,5.0,51.0,388.0,403.0,10177.0,0.6757394124005109,0.1552520389112705,0.0537486489142183,0.0077626019455635,0.0242704136779011,0.0004913039206052,0.0050112999901739,0.0381251842389702,0.039599096000786,0.8143952048737348,100.0,91.18701641819212,충청남도_재배작물별 농가현황.csv,2025,18738.0,599.0,112247.0,100.0,100.0,100.0,98.23740328363844,심각,52.531962839243775,주의
서천군,,,,,,,,7.0,32016.0,162157.59,151511.11,55728.0,3435.4300000000003,61.559760036917396,42.176231386057076,23.333333333333332,2025,3881.0,635.0,658.0,210.0,121.0,7.0,17.0,246.0,165.0,5940.0,0.6533670033670034,0.1069023569023569,0.1107744107744107,0.0353535353535353,0.0203703703703703,0.0011784511784511,0.0028619528619528,0.0414141414141414,0.0277777777777777,0.7977272727272727,94.43315555011256,51.20777505189659,충청남도_재배작물별 농가현황.csv,2025,9213.0,551.0,50778.0,48.89473119433416,44.97251714321522,44.18604651162791,66.98437760049016,경계,51.208956067099784,주의
아산시,,,,,,,,18.0,29437.2,152667.97,150244.01,92947.0,4304.7,56.60129210890632,41.82350805910586,60.0,2025,5413.0,1009.0,760.0,244.0,687.0,26.0,43.0,309.0,356.0,8847.0,0.611845823442975,0.1140499604385667,0.085904826494857,0.0275799706115067,0.0776534418446931,0.0029388493274556,0.0048604046569458,0.0349270939301458,0.040239629252854,0.745665197242003,77.04518723957968,78.63747876957916,충청남도_재배작물별 농가현황.csv,2025,9000.0,545.0,49062.0,47.75190471080588,43.436341825864325,37.2093023255814,64.99899810132882,경계,48.71500176845834,주의
보령시,,,,,,,,30.0,26856.0,182943.9,180175.5,78697.0,3020.58,51.63820950622981,50.1555534646834,100.0,2025,5269.0,898.0,629.0,204.0,181.0,15.0,25.0,311.0,260.0,7792.0,0.6762063655030801,0.1152464065708418,0.080723819301848,0.0261806981519507,0.0232289527720739,0.0019250513347022,0.0032084188911704,0.0399127310061601,0.0333675564681724,0.8077130390143737,97.76825477806452,68.68277033402529,충청남도_재배작물별 농가현황.csv,2025,8218.0,551.0,45261.0,43.5561755553171,40.033659785508384,44.18604651162791,69.7379488346864,경계,46.73429776558594,주의
부여군,,,,,,,,11.0,19692.0,133456.16,130507.39,48450.4,3083.68,37.86340562990309,36.32941424711621,36.666666666666664,2025,4895.0,688.0,1551.0,345.0,906.0,35.0,46.0,437.0,376.0,9279.0,0.5275352947515896,0.0741459208966483,0.167151632719043,0.0371807306821855,0.0976398318784351,0.0037719581851492,0.0049574307576247,0.047095592197435,0.0405216079318892,0.6778855480116391,54.40778022244961,82.71371956973013,충청남도_재배작물별 농가현황.csv,2025,9427.0,536.0,50544.0,50.04292306041421,44.76303869084919,26.744186046511626,57.531042571656805,주의,41.68067392792916,주의
청양군,,,,,,,,28.0,18832.8,155278.47,148811.37,51119.1,1698.33,36.21135209967697,41.42470327090966,93.33333333333333,2025,3018.0,636.0,1141.0,220.0,467.0,181.0,32.0,296.0,364.0,6355.0,0.4749016522423289,0.1000786782061369,0.1795436664044059,0.034618410700236,0.0734854445318646,0.0284815106215578,0.0050354051927616,0.0465774980330448,0.0572777340676632,0.648575924468922,44.61879657928678,55.12360822796754,충청남도_재배작물별 농가현황.csv,2025,4628.0,558.0,25818.0,24.29445219444146,22.62814889083845,52.32558139534884,38.34007565954436,낮음,31.28801509108413,낮음
홍성군,,,,,,,,9.0,10816.2,62995.8,61364.1,43955.0,1521.09,20.797185048454086,17.081958414779916,30.0,2025,5457.0,1093.0,1299.0,352.0,208.0,17.0,62.0,447.0,1094.0,10029.0,0.5441220460664075,0.1089839465549905,0.1295243793000299,0.0350982151759896,0.0207398544221756,0.0016950842556585,0.0061820719912254,0.0445707448399641,0.1090836573935586,0.6992122843753116,61.53059683323852,89.79052651443669,충청남도_재배작물별 농가현황.csv,2025,8541.0,555.0,47426.0,45.28919411954072,41.97178307342489,48.837209302325576,60.18841002708166,경계,30.349672225702932,낮음
