sigungu,base_date,target_date,current_avg_reservoir_rate,pred_avg_reservoir_rate_7d,forecast_drop_7d,forecast_risk_score,forecast_risk_level
당진시,2025-12-24,2025-12-31,72.33333333333333,70.68790435791016,1.6454289754231723,21.012095642089843,낮음
서산시,2025-12-24,2025-12-31,76.26777777777778,76.01604461669922,0.2517331610785618,16.864288716634114,낮음
홍성군,2025-12-24,2025-12-31,83.8111111111111,84.35062408447266,0.0,10.95456314086914,낮음
금산군,2025-12-24,2025-12-31,86.37777777777778,87.02112579345703,0.0,9.085211944580077,낮음
보령시,2025-12-24,2025-12-31,86.23666666666666,87.19776153564453,0.0,8.961566925048828,낮음
천안시,2025-12-24,2025-12-31,89.015,88.22903442382812,0.7859655761718756,8.475465576171876,낮음
공주시,2025-12-24,2025-12-31,88.075,88.35891723632812,0.0,8.148757934570312,낮음
태안군,2025-12-24,2025-12-31,90.52105263157895,90.19197082519531,0.32908180638364115,6.964344964278373,낮음
부여군,2025-12-24,2025-12-31,90.03636363636363,90.4179458618164,0.0,6.707437896728515,낮음
예산군,2025-12-24,2025-12-31,90.55384615384617,90.60062408447266,0.0,6.579563140869141,낮음
논산시,2025-12-24,2025-12-31,94.452,92.94401550292969,1.5079844970703107,5.391584497070311,낮음
서천군,2025-12-24,2025-12-31,95.8375,94.83470916748047,1.002790832519537,3.9165408325195323,낮음
아산시,2025-12-24,2025-12-31,95.745,95.18753051757812,0.5574694824218795,3.5359694824218764,낮음
청양군,2025-12-24,2025-12-31,98.675,97.9020767211914,0.7729232788085909,1.700423278808593,낮음
