final_priority_rank,sigungu,final_water_risk_score,final_water_risk_level,main_risk_driver,recommended_action,water_supply_pressure_score,agricultural_damage_potential_score,alternative_water_shortage_score,reservoir_risk_score,weather_drought_risk_score,crop_vulnerability_index,agri_impact_index,well_support_score,well_shortage_score,reservoir_data_missing,reservoir_latest_date,avg_reservoir_rate,min_reservoir_rate,max_reservoir_rate,reservoir_count,low_reservoir_count_40,low_reservoir_count_30,total_effective_capacity,risk_level_by_reservoir,weather_latest_date,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,reservoir_rate_risk_from_drought,weather_drought_level,total_households,rice_households,crop_household_demand_index,farm_household_scale_index,rice_area,rice_yield_10a,rice_production,rice_area_index,rice_production_index,rice_productivity_index,crop_vulnerability_level,farm_households_agri_stats,farm_population,farm_population_index,farm_households_agri_stats_index,total_benefit_area,facility_effective_capacity,benefit_area_index,reservoir_capacity_index,agri_impact_level,well_count,groundwater_well_count,drilling_developed_well_count,total_pump_capacity,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_level,reservoir_risk_score_missing,reservoir_risk_score_for_score,weather_drought_risk_score_missing,weather_drought_risk_score_for_score,crop_vulnerability_index_missing,crop_vulnerability_index_for_score,agri_impact_index_missing,agri_impact_index_for_score,well_shortage_score_missing,well_shortage_score_for_score,well_support_score_missing,well_support_score_for_score
1,당진시,47.29457158509899,주의,대체 수원 부족,정기 점검 강화 및 농업용수 수요 변화 관찰,24.729999999999997,75.38468306144111,100.0,31.08333333333333,15.200000000000005,98.23740328363844,52.531962839243775,0.0,100.0,0,2025-12-31,68.91666666666667,0.1,100.0,12.0,1.0,1.0,0.0,낮음,2024-12-31,0,68.8,80.4,85.6,14.400000000000006,,31.200000000000003,낮음,10177.0,6877.0,100.0,91.18701641819212,18738.0,599.0,112247.0,100.0,100.0,100.0,심각,,,,,7698.0,33490.1,14.801568989386247,9.322657637068268,주의,387,216,171,12583.0,58.254629629629626,71.36111111111111,0.0,0.0,낮음,0,31.08333333333333,0,15.200000000000005,0,98.23740328363844,0,52.531962839243775,0,100.0,0,0.0
2,서산시,42.04604797722264,주의,대체 수원 부족,정기 점검 강화 및 농업용수 수요 변화 관찰,15.663999999999998,77.23825008670605,96.57239617877494,22.906666666666663,4.800000000000002,87.6335075846481,66.84299258876399,3.4276038212250635,96.57239617877494,0,2025-12-31,77.09333333333333,11.4,92.8,18.0,1.0,1.0,0.0,낮음,2024-12-31,0,85.6,81.5,105.0,0.0,,14.400000000000006,낮음,11082.0,6563.0,84.83089301266075,99.72636346480468,16391.0,544.0,89191.0,87.40744715098187,79.36010599251607,36.04651162790697,심각,,,,,29463.0,172026.29,56.65089986155976,47.88705337532646,경계,1167,833,334,47152.19999999999,56.60528211284512,53.16346153846154,2.635135135135135,4.616306850359956,낮음,0,22.906666666666663,0,4.800000000000002,0,87.6335075846481,0,66.84299258876399,0,96.57239617877494,0,3.4276038212250635
3,예산군,34.390251226730776,낮음,대체 수원 부족,일반 모니터링 유지,8.412820512820513,67.90985970592703,89.88703571362925,9.176923076923076,7.266666666666666,58.68838526907645,77.1313341427776,10.112964286370762,89.88703571362925,0,2025-12-31,90.82307692307693,73.2,100.0,13.0,0.0,0.0,0.0,낮음,2024-12-31,0,81.7,84.7,96.5,3.5,,18.3,낮음,9273.0,5207.0,55.065713388944445,82.65710511417248,9678.0,566.0,54780.0,51.38963408090997,48.55513580291122,61.627906976744185,주의,,,,,52008.0,359233.4,100.0,100.0,경계,2662,2081,581,115577.5,55.9968507751938,58.34526669870255,7.685810810810811,13.753694499710686,낮음,0,9.176923076923076,0,7.266666666666666,0,58.68838526907645,0,77.1313341427776,0,89.88703571362925,0,10.112964286370762
4,보령시,30.979167757664293,낮음,대체 수원 부족,일반 모니터링 유지,8.519999999999996,58.23612330013617,85.04997434290111,12.86666666666666,2.0,69.7379488346864,46.73429776558594,14.950025657098896,85.04997434290111,0,2025-12-31,87.13333333333334,0.0,100.0,30.0,2.0,1.0,0.0,낮음,2024-12-31,0,94.0,80.9,116.2,0.0,,6.0,낮음,7792.0,5269.0,97.76825477806452,68.68277033402529,8218.0,551.0,45261.0,43.5561755553171,40.033659785508384,44.18604651162791,경계,,,,,26856.0,180175.5,51.63820950622981,50.1555534646834,주의,4356,4096,260,141848.6,38.535343656615055,39.6895751953125,13.408783783783784,17.26188846707156,낮음,0,12.86666666666666,0,2.0,0,69.7379488346864,0,46.73429776558594,0,85.04997434290111,0,14.950025657098896
5,계룡시,28.739417348241528,낮음,대체 수원 부족,일반 모니터링 유지,30.0,5.496738122014126,95.9039591163729,,0.0,10.993476244028251,0.0,4.096040883627103,95.9039591163729,1,,,,,0.0,0.0,0.0,0.0,데이터없음,2024-12-31,0,100.0,100.0,100.0,0.0,,0.0,낮음,513.0,203.0,27.483690610070628,0.0,100.0,539.0,541.0,0.0,0.0,30.23255813953488,낮음,,,,,0.0,0.0,0.0,0.0,낮음,1693,1678,15,39705.279999999984,23.66226460071513,47.84564958283672,4.412162162162162,3.621858965824514,낮음,1,50.0,0,0.0,0,10.993476244028251,0,0.0,0,95.9039591163729,0,4.096040883627103
6,서천군,27.70436916192797,낮음,대체 수원 부족,일반 모니터링 유지,2.590833333333336,59.09666683379497,84.30160778456143,2.9625000000000057,2.0333333333333314,66.98437760049016,51.20895606709978,15.698392215438574,84.30160778456143,0,2025-12-31,97.0375,86.3,100.0,8.0,0.0,0.0,0.0,낮음,2024-12-31,0,93.9,79.8,117.6,0.0,,6.099999999999994,낮음,5940.0,3881.0,94.43315555011256,51.20777505189659,9213.0,551.0,50778.0,48.89473119433416,44.97251714321522,44.18604651162791,경계,,,,,32016.0,151511.11,61.5597600369174,42.17623138605708,주의,4192,4037,155,162082.5,40.17910262766485,33.48934852613327,12.85472972972973,19.96388594400184,낮음,0,2.9625000000000057,0,2.0333333333333314,0,66.98437760049016,0,51.20895606709978,0,84.30160778456143,0,15.698392215438574
7,아산시,27.662951160094785,낮음,대체 수원 부족,일반 모니터링 유지,3.396666666666667,56.85699993489358,85.8335117962671,4.016666666666666,2.466666666666669,64.99899810132882,48.71500176845834,14.166488203732897,85.8335117962671,0,2025-12-31,95.98333333333332,64.8,100.0,18.0,0.0,0.0,0.0,낮음,2024-12-31,0,92.6,86.6,106.8,0.0,,7.400000000000006,낮음,8847.0,5413.0,77.04518723957968,78.63747876957916,9000.0,545.0,49062.0,47.75190471080588,43.436341825864325,37.2093023255814,경계,,,,,29437.2,150244.01,56.60129210890632,41.82350805910586,주의,3050,2798,252,176740.5,83.172,65.73906361686919,8.996621621621621,21.92128807689981,낮음,0,4.016666666666666,0,2.466666666666669,0,64.99899810132882,0,48.71500176845834,0,85.8335117962671,0,14.166488203732897
8,홍성군,27.619050968717257,낮음,대체 수원 부족,일반 모니터링 유지,10.693333333333326,45.269041126392295,76.9889418635513,13.755555555555546,6.099999999999999,60.18841002708166,30.34967222570293,23.01105813644869,76.9889418635513,0,2025-12-31,86.24444444444445,70.9,100.0,9.0,0.0,0.0,0.0,낮음,2024-12-31,0,81.7,79.2,103.2,0.0,,18.3,낮음,10029.0,5457.0,61.53059683323852,89.79052651443669,8541.0,555.0,47426.0,45.28919411954072,41.97178307342489,48.837209302325576,경계,,,,,10816.2,61364.1,20.79718504845409,17.081958414779916,낮음,5643,5395,248,243921.47,48.12972967640095,50.94124189063948,17.756756756756754,30.89251020598659,낮음,0,13.755555555555546,0,6.099999999999999,0,60.18841002708166,0,30.34967222570293,0,76.9889418635513,0,23.01105813644869
9,태안군,25.980908113244986,낮음,대체 수원 부족,일반 모니터링 유지,7.498245614035088,40.4788585106475,93.77162840752489,9.05263157894737,5.166666666666667,52.066375598633904,28.891341422661096,6.2283715924751135,93.77162840752489,0,2025-12-31,90.94736842105264,69.6,100.0,19.0,0.0,0.0,0.0,낮음,2024-12-31,0,86.5,88.3,98.0,2.0,,13.5,낮음,6580.0,3000.0,59.8242856303126,57.24665031137951,8105.0,553.0,44850.0,42.94988732696641,39.66572968327574,46.51162790697674,주의,,,,,10561.8,56894.8,20.308029533917857,15.83783690492031,낮음,2305,2159,146,56400.69999999995,38.950759668508255,46.28520093185789,6.47972972972973,5.85133438659319,낮음,0,9.05263157894737,0,5.166666666666667,0,52.066375598633904,0,28.891341422661096,0,93.77162840752489,0,6.2283715924751135
10,논산시,24.50447595629081,낮음,작물 취약성,일반 모니터링 유지,4.377333333333334,62.92157103697281,30.25671311865638,5.340000000000003,2.933333333333332,62.994839116385705,62.84830295755991,69.74328688134362,30.25671311865638,0,2025-12-31,94.66,48.0,100.0,25.0,0.0,0.0,0.0,낮음,2024-12-31,0,91.2,79.2,115.2,0.0,,8.799999999999997,낮음,9882.0,5345.0,60.012562492607245,88.40347235327421,10418.0,539.0,56164.0,55.36001716922416,49.79410237587954,30.23255813953488,경계,,,,,39527.4,228506.28,76.002538071066,63.60941939140402,경계,18247,18024,223,640504.41,35.54014038397514,28.305353972481143,60.33783783783784,83.85146044660229,높음,0,5.340000000000003,0,2.933333333333332,0,62.994839116385705,0,62.84830295755991,0,30.25671311865638,0,69.74328688134362
