soil_moisture_rank,sigungu,soil_data_date,soil_row_count,soil_moisture_avg,soil_moisture_min,soil_moisture_max,soil_dry_count,soil_severe_count,soil_moisture_drought_score,soil_data_status
1,태안군,2026-08-18,1,39.0,39.0,39.0,1,0,55.0,ADMS_SOIL_AUTO
2,보령시,2026-08-18,1,53.0,53.0,53.0,0,0,35.0,ADMS_SOIL_AUTO
3,금산군,2026-08-18,1,57.0,57.0,57.0,0,0,35.0,ADMS_SOIL_AUTO
4,서천군,2026-08-18,1,59.0,59.0,59.0,0,0,35.0,ADMS_SOIL_AUTO
5,아산시,2026-08-18,1,46.0,46.0,46.0,0,0,35.0,ADMS_SOIL_AUTO
6,서산시,2026-08-18,1,46.0,46.0,46.0,0,0,35.0,ADMS_SOIL_AUTO
7,당진시,2026-08-18,1,48.0,48.0,48.0,0,0,35.0,ADMS_SOIL_AUTO
8,예산군,2026-08-18,1,59.0,59.0,59.0,0,0,35.0,ADMS_SOIL_AUTO
9,논산시,2026-08-18,1,70.0,70.0,70.0,0,0,0.0,ADMS_SOIL_AUTO
10,계룡시,2026-08-18,1,73.0,73.0,73.0,0,0,0.0,ADMS_SOIL_AUTO
11,공주시,2026-08-18,1,66.0,66.0,66.0,0,0,0.0,ADMS_SOIL_AUTO
12,부여군,2026-08-18,1,92.0,92.0,92.0,0,0,0.0,ADMS_SOIL_AUTO
13,천안시,2026-08-18,1,125.0,125.0,125.0,0,0,0.0,ADMS_SOIL_AUTO
14,청양군,2026-08-18,1,73.0,73.0,73.0,0,0,0.0,ADMS_SOIL_AUTO
15,홍성군,2026-08-18,1,69.0,69.0,69.0,0,0,0.0,ADMS_SOIL_AUTO
