rain_shortage_rank,sigungu,weather_start_date,weather_end_date,station_count,rainfall_30d,rainfall_7d,rain_days_30d,rain_days_7d,mean_station_distance_km,avg_temperature_30d,avg_humidity_30d,avg_wind_speed_30d,latest_rain_shortage_score,weather_data_status
1,태안군,2026-08-26,2026-09-25,5,96.0,0.0,4.0,0.0,17.953012904551393,,,,100.0,AWS_AUTO
2,당진시,2026-08-26,2026-09-25,9,102.66666666666667,0.0,3.0,0.0,23.599609210735146,,,,96.12177622648825,AWS_AUTO
3,공주시,2026-08-26,2026-09-25,6,125.13333333333333,0.0,5.2,0.0,12.610455690836332,,,,83.05216210975374,AWS_AUTO
4,천안시,2026-08-26,2026-09-25,19,126.36842105263158,0.0,4.2,0.0,26.536012898103394,,,,82.33367012645051,AWS_AUTO
5,서산시,2026-08-26,2026-09-25,1,135.9,0.0,6.0,0.0,3.9891291459797436,,,,76.78883071553227,AWS_AUTO
6,청양군,2026-08-26,2026-09-25,2,141.75,0.0,6.0,0.0,10.130230040471663,,,,73.38568935427574,AWS_AUTO
7,아산시,2026-08-26,2026-09-25,4,158.375,0.0,4.5,0.0,17.349549433979842,,,,63.71436881908086,AWS_AUTO
8,금산군,2026-08-26,2026-09-25,7,158.75714285714284,0.0,4.9,0.0,18.28219662830539,,,,63.4920634920635,AWS_AUTO
9,계룡시,2026-08-26,2026-09-25,8,167.3125,0.0,5.0,0.0,16.079711314543598,,,,58.51512507271669,AWS_AUTO
10,홍성군,2026-08-26,2026-09-25,4,174.35,0.0,5.8,0.0,13.538423984208684,,,,54.42117510180338,AWS_AUTO
11,부여군,2026-08-26,2026-09-25,2,178.65,0.0,5.5,0.0,7.024053241433464,,,,51.9197207678883,AWS_AUTO
12,보령시,2026-08-26,2026-09-25,4,190.125,0.0,5.8,0.0,17.30278723348575,,,,45.244328097731234,AWS_AUTO
13,예산군,2026-08-26,2026-09-25,1,196.0,0.0,6.0,0.0,6.802250449645044,,,,41.82664339732402,AWS_AUTO
14,논산시,2026-08-26,2026-09-25,4,211.4,0.0,5.2,0.0,13.103126547716926,,,,32.86794648051191,AWS_AUTO
15,서천군,2026-08-26,2026-09-25,7,267.9,0.0,5.1,0.0,14.334822604318216,,,,0.0,AWS_AUTO
