rain_shortage_rank,sigungu,weather_start_date,weather_end_date,station_count,rainfall_30d,rainfall_7d,rain_days_30d,rain_days_7d,mean_station_distance_km,avg_temperature_30d,avg_humidity_30d,avg_wind_speed_30d,latest_rain_shortage_score,weather_data_status
1,태안군,2026-08-11 00:00:00,2026-09-10 00:00:00,5,165.0,0.0,9.4,0.0,17.953012904551393,,,,100.0,AWS_AUTO
2,당진시,2026-08-11 00:00:00,2026-09-10 00:00:00,9,177.66666666666666,0.0,8.8,0.0,23.599609210735146,,,,91.9313252646586,AWS_AUTO
3,공주시,2026-08-11 00:00:00,2026-09-10 00:00:00,6,189.78333333333333,0.0,11.2,0.0,12.610455690836332,,,,84.21300087966756,AWS_AUTO
4,금산군,2026-08-11 00:00:00,2026-09-10 00:00:00,7,200.31428571428572,0.0,11.6,0.0,18.28219662830539,,,,77.50477750477751,AWS_AUTO
5,천안시,2026-08-11 00:00:00,2026-09-10 00:00:00,19,200.9157894736842,0.0,9.8,0.0,26.536012898103394,,,,77.12161922688239,AWS_AUTO
6,청양군,2026-08-11 00:00:00,2026-09-10 00:00:00,2,212.0,0.0,12.0,0.0,10.130230040471663,,,,70.06097006097008,AWS_AUTO
7,아산시,2026-08-11 00:00:00,2026-09-10 00:00:00,4,226.875,0.0,10.2,0.0,17.349549433979842,,,,60.5855855855856,AWS_AUTO
8,서산시,2026-08-11 00:00:00,2026-09-10 00:00:00,1,234.6,0.0,13.0,0.0,3.9891291459797436,,,,55.66475566475568,AWS_AUTO
9,계룡시,2026-08-11 00:00:00,2026-09-10 00:00:00,8,234.775,0.0,11.5,0.0,16.079711314543598,,,,55.55328055328056,AWS_AUTO
10,부여군,2026-08-11 00:00:00,2026-09-10 00:00:00,2,238.25,0.0,12.0,0.0,7.024053241433464,,,,53.33970333970335,AWS_AUTO
11,보령시,2026-08-11 00:00:00,2026-09-10 00:00:00,4,252.225,0.0,11.8,0.0,17.30278723348575,,,,44.43761943761945,AWS_AUTO
12,논산시,2026-08-11 00:00:00,2026-09-10 00:00:00,4,254.35,0.0,10.8,0.0,13.103126547716926,,,,43.0839930839931,AWS_AUTO
13,홍성군,2026-08-11 00:00:00,2026-09-10 00:00:00,4,264.4,0.0,12.5,0.0,13.538423984208684,,,,36.682136682136715,AWS_AUTO
14,예산군,2026-08-11 00:00:00,2026-09-10 00:00:00,1,279.5,0.0,14.0,0.0,6.802250449645044,,,,27.06342706342708,AWS_AUTO
15,서천군,2026-08-11 00:00:00,2026-09-10 00:00:00,7,321.9857142857143,0.04285714285714286,10.0,0.1,14.334822604318216,,,,0.0,AWS_AUTO
