"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"2671010056","용천","부산광역시 기장군 일광면 용천리","1956-01-01","1958-01-01","2","주수원","210","3","3","49","3","50","필댐(죤형)","32000","75","14","115","115","0","사통형","101","100","91"
"2671010067","병산","부산광역시 기장군 정관읍 병산리","1941-01-01","1942-01-01","2","주수원","660","5","4","56","3","50","필댐(죤형)","63000","129","15","164","164","0","사통형","111","110","102"
"2671010085","송정","부산광역시 기장군 철마면 송정리","1956-01-01","1958-01-01","1","주수원","230","5","5","49","3","100","필댐(죤형)","122000","151","20","342","342","0","사통형","101","100","86"
"2671010097","안평","부산광역시 기장군 철마면 안평리","1931-06-21","1945-03-31","2","주수원","112","3","3","47","3","50","필댐(죤형)","55000","79","18","140","140","0","사통형","114","113","103"
"2671010098","임기","부산광역시 기장군 철마면 임기리","1956-01-01","1959-01-01","2","주수원","277","1","1","36","3","30","필댐(죤형)","42000","61","18","67","67","0","사통형","101","100","89"
"2714010005","단산","대구광역시 동구 봉무동","1931-02-19","1932-05-10","1","주수원","84","24","23","59","10","200","필댐(죤형)","215439","370","20","2072","2072","0","사통형","54","53","41"
"2714010023","신","대구광역시 동구 각산동","1945-01-01","1947-12-30","1","주수원","950","11","10","2","10","200","필댐(죤형)","45017","294","10","499","474","25","사통형","68","67","58"
"2723010006","도남","대구광역시 북구 도남동","1941-12-25","1944-03-31","1","주수원","450","8","8","49","7","100","필댐(죤형)","24144","260","11","385","385","0","사통형","92","92","81"
"2723010007","광대","대구광역시 북구 도남동","1945-01-01","1946-12-31","2","보조수원","35","1","1","1","10","100","필댐(죤형)","1680","84","5","5","5","0","사통형","84","83","82"
"2723010012","신","대구광역시 북구 국우동","1945-01-01","1945-12-30","2","보조수원","45","1","1","0","10","100","필댐(죤형)","1170","180","4","11","11","0","사통형","59","58","57"
"2723010021","대동","대구광역시 북구 사수동","1947-02-01","1947-12-31","2","보조수원","10","1","1","0","10","100","필댐(죤형)","4698","116","6","11","11","0","사통형","43","42","38"
"2723010022","내곡","대구광역시 북구 사수동","1948-01-01","1948-12-30","2","보조수원","40","1","1","0","10","100","필댐(죤형)","4117","108","9","31","31","0","사통형","55","54","48"
"2723010024","연경","대구광역시 북구 연경동","1976-07-19","1979-07-10","1","주수원","350","7","7","23","10","100","필댐(죤형)","100491","143","21","613","613","0","사통형","114","113","97"
"2726010001","수성","대구광역시 수성구 두산동","1924-09-27","1927-04-24","1","주수원","10021","25","22","0","10","100","필댐(죤형)","245958","1050","7","752","752","0","취수탑형","50","49","46"
"2726010006","구천","대구광역시 수성구 매호동","1945-01-01","1947-12-30","2","주수원","710","2","2","13","10","100","필댐(죤형)","3726","135","4","55","55","0","사통형","50","49","46"
"2726010008","욱수","대구광역시 수성구 욱수동","1992-04-25","1994-07-20","2","주수원","444","4","4","35","10","200","필댐(죤형)","92321","143","21","236","213","23","사통형","107","106","92"
"2726010019","연호","대구광역시 수성구 연호동","1945-01-01","1947-12-30","1","주수원","1050","6","5","24","10","100","필댐(죤형)","12175","117","8","314","314","0","사통형","55","54","43"
"2729010002","도원","대구광역시 달서구 도원동","1957-09-24","1964-12-31","1","주수원","1050","20","18","16","10","100","필댐(죤형)","320181","460","21","1404","1404","0","사통형","98","98","83"
"2771010011","노홍","대구광역시 달성군 논공읍 노이리","1973-12-18","1977-06-30","1","주수원","502","19","15","73","10","100","필댐(죤형)","174680","261","21","1153","1153","0","사통형","87","84","68"
"2771010014","금봉","대구광역시 달성군 논공읍 금포리","1973-12-18","1977-06-30","2","보조수원","150","2","1","11","10","100","필댐(죤형)","64250","160","12","31","31","0","사통형","53","52","49"
"2771010050","낙곡","대구광역시 달성군 하빈면 무등리","1945-01-01","1946-01-01","2","보조수원","60","1","0","2","10","100","필댐(죤형)","3567","82","7","9","9","0","사통형","32","32","29"
"2771010062","옥연","대구광역시 달성군 옥포면 기세리","1943-12-31","1964-12-31","1","주수원","2260","61","57","563","10","200","필댐(죤형)","145373","198","24","4426","4426","0","취수탑형","71","70","52"
"2771010070","부동","대구광역시 달성군 현풍면 부리","1945-01-01","1945-12-31","2","보조수원","40","1","1","12","10","100","필댐(죤형)","10440","78","4","15","15","0","사통형","58","58","55"
"2771010075","용흥","대구광역시 달성군 현풍면 지리","1953-03-13","1956-12-31","2","보조수원","180","4","3","15","10","100","필댐(죤형)","48723","280","5","46","46","0","사통형","101","100","98"
"2771010077","용연","대구광역시 달성군 현풍면 신기리","1953-03-13","1956-12-30","1","주수원","3690","20","18","125","10","100","필댐(죤형)","133118","510","8","581","581","0","사통형","32","32","27"
"2771010096","사배","대구광역시 달성군 유가면 도의리","1958-12-08","1959-07-30","2","보조수원","595","6","5","61","10","100","필댐(죤형)","71110","250","9","174","174","0","사통형","112","111","105"
"2771010098","달창","대구광역시 달성군 유가면 한정리","1963-11-07","1972-12-30","1","주수원","5630","138","131","540","10","200","필댐(죤형)","408800","524","21","8649","8649","0","취수탑형","69","68","55"
"2871010001","국화","인천광역시 강화군 강화읍 국화리","1976-07-10","1978-06-30","1","주수원","420","26","23","96","10","200","필댐(죤형)","160720","245","16","1068","1058","10","사통형","50","49","40"
