표준코드,본부,지사,시설명,소재지,착공년도,준공년도,종별,구분,유역면적,홍수면적,만수면적,수혜면적,한발빈도,홍수빈도,제체형식,제체체적,제체길이,제체높이,총저수량,유효저수량,사수량,취수형식,홍수위,만수위,사수위,연락처
2671010056,경남,울산,용천,부산광역시 기장군 일광읍 용천리,1956-01-01,1958-01-01,2,주수원,210,2.97,2.82,49,3,50,필댐(죤형),32000,75,14,115.29,115.29,0,사통형,101,100,91,052-290-5301
2671010067,경남,울산,병산,부산광역시 기장군 정관읍 용수리,1941-01-01,1942-01-01,2,주수원,660,4.61,4.36,56,3,50,필댐(죤형),63000,129,15,163.8,163.8,0,사통형,111.15,110.15,102,052-290-5301
2671010085,경남,울산,송정,부산광역시 기장군 철마면 송정리,1956-01-01,1958-01-01,1,주수원,230,5.3,5.12,48.6,3,100,필댐(죤형),122000,151,19.5,342.14,342.14,0,사통형,101,100,86,052-290-5301
2671010097,경남,울산,안평,부산광역시 기장군 철마면 안평리,1931-06-21,1945-03-31,2,주수원,112,2.83,2.71,47,3,50,필댐(죤형),55000,79,18,140.46,140.46,0,사통형,114.29,113.29,103,052-290-5301
2671010098,경남,울산,임기,부산광역시 기장군 철마면 임기리,1956-01-01,1959-01-01,2,주수원,277,1.21,1.16,36,3,30,필댐(죤형),42000,61,18,66.51,66.51,0,사통형,101,100,89,052-290-5301
2714010005,경북,달성,단산,대구광역시 동구 봉무동,1931-02-19,1932-05-10,1,주수원,84.1,23.7,23,59,10,200,필댐(죤형),215439,370,19.8,2072,2072,0,사통형,53.8,53,40.6,053-628-1123
2714010023,경북,경산.청도,신,대구광역시 동구 각산동,1945-01-01,1947-12-30,1,주수원,950,10.98,10.27,2,10,200,필댐(죤형),45017,294,9.7,499,474,25,사통형,68,67,58,053-819-6000
2723010006,경북,칠곡,도남,대구광역시 북구 도남동,1941-12-25,1944-03-31,1,주수원,450,8.4,8,17,7,100,필댐(죤형),24144,260,10.53,385,385,0,사통형,92.35,91.84,81.31,054-800-5000
2723010007,경북,칠곡,광대,대구광역시 북구 도남동,1945-01-01,1946-12-31,2,보조수원,35,0.58,0.55,0.9,10,100,필댐(죤형),1680,84,5,5.44,5.44,0,사통형,83.85,83.35,81.6,054-800-5000
2723010012,경북,칠곡,신,대구광역시 북구 국우동,1945-01-01,1945-12-30,2,보조수원,45,0.63,0.6,0,10,100,필댐(죤형),1170,180,4,11.36,11.36,0,사통형,59.12,58.47,56.52,054-800-5000
2723010021,경북,칠곡,대동,대구광역시 북구 사수동,1947-02-01,1947-12-31,2,보조수원,10,0.74,0.7,0,10,100,필댐(죤형),4698,116,6,11,11,0,사통형,42.88,41.88,37.51,054-800-5000
2723010022,경북,칠곡,내곡,대구광역시 북구 사수동,1948-01-01,1948-12-30,2,보조수원,40,1.3,1.2,0,10,100,필댐(죤형),4117,108,9,31,31,0,사통형,54.78,54.28,48.43,054-800-5000
2723010024,경북,달성,연경,대구광역시 북구 연경동,1976-07-19,1979-07-10,1,주수원,350,7.3,6.89,23,10,100,필댐(죤형),100491,143,21,613.17,613.17,0,사통형,114,113,97,053-628-1123
2726010001,경북,달성,수성,대구광역시 수성구 두산동,1924-09-27,1927-04-24,1,주수원,18,25,22,0,10,100,필댐(죤형),245958,1050,7,752,752,0,취수탑형,50,49.2,45.5,053-628-1123
2726010006,경북,경산.청도,구천,대구광역시 수성구 매호동,1945-01-01,1947-12-30,2,주수원,710,2.1,2,12.8,10,100,필댐(죤형),3726,135,4,54.53,54.53,0,사통형,50,49,45.7,053-819-6000
2726010008,경북,경산.청도,욱수,대구광역시 수성구 욱수동,1992-04-25,1994-07-20,2,주수원,444,3.89,3.67,35,10,200,필댐(죤형),92321,143,21,236,213,23,사통형,107,106,92,053-819-6000
2726010019,경북,경산.청도,연호,대구광역시 수성구 연호동,1945-01-01,1947-12-30,1,주수원,1050,5.77,5.4,24,10,100,필댐(죤형),12175,117,7.5,313.73,313.73,0,사통형,55,54,43.4,053-819-6000
2729010002,경북,달성,도원,대구광역시 달서구 도원동,1957-09-24,1964-12-31,1,주수원,580.2,20,18.4,16,10,100,필댐(죤형),320181,460,20.8,1404.3,1404.3,0,사통형,98.4,98,83,053-628-1123
2771010011,경북,달성,노홍,대구광역시 달성군 논공읍 노이리,1973-12-18,1977-06-30,1,주수원,502,18.6,14.88,73,10,100,필댐(죤형),174680,261,20.8,1153.3,1153.3,0,사통형,86.5,84.2,68,053-628-1123
2771010014,경북,달성,금봉,대구광역시 달성군 논공읍 금포리,1973-12-18,1977-06-30,2,보조수원,150,1.8,1.45,11,10,100,필댐(죤형),64250,160,12,30.8,30.8,0,사통형,52.9,52.2,49.1,053-628-1123
2771010050,경북,칠곡,낙곡,대구광역시 달성군 하빈면 무등리,1945-01-01,1946-01-01,2,보조수원,60,0.5,0.48,2,10,100,필댐(죤형),3567,82,7,8.7,8.7,0,사통형,32.38,31.59,28.59,054-800-5000
2771010062,경북,달성,옥연,대구광역시 달성군 옥포읍 기세리,1943-12-31,1964-12-31,1,주수원,2260,61,56.9,563,10,200,필댐(죤형),145373,198,24.3,4426,4426,0,취수탑형,70.7,69.5,51.5,053-628-1123
2771010070,경북,달성,부동,대구광역시 달성군 현풍읍 부리,1945-01-01,1945-12-31,2,보조수원,40,1.1,0.9,12,10,100,필댐(죤형),10440,78,4,15.3,15.3,0,사통형,58.1,57.6,55.1,053-628-1123
2771010075,경북,달성,용흥,대구광역시 달성군 현풍읍 지리,1953-03-13,1956-12-31,2,보조수원,180,4,3.01,15,10,100,필댐(죤형),48723,280,5.2,46.22,46.22,0,사통형,100.9,100.3,98,053-628-1123
2771010077,경북,달성,용연,대구광역시 달성군 현풍읍 대리,1953-03-13,1956-12-30,1,주수원,3690,19.6,18.36,125,10,100,필댐(죤형),133118,510,7.8,580.79,580.79,0,사통형,32.4,31.9,26.7,053-628-1123
2771010096,경북,달성,사배,대구광역시 달성군 유가읍 도의리,1958-12-08,1959-07-30,2,보조수원,595,6.2,5.09,61,10,100,필댐(죤형),71110,250,8.5,173.84,173.84,0,사통형,111.5,111,105,053-628-1123
