행정구역별,논벼_농가 (가구),식량작물_농가 (가구),채소·산나물_농가 (가구),특용작물·버섯_농가 (가구),과수_농가 (가구),약용작물_농가 (가구),화초·관상작물_농가 (가구),기타작물_농가 (가구),축산_농가 (가구),논벼_경영주 평균 경력 (년),식량작물_경영주 평균 경력 (년),채소·산나물_경영주 평균 경력 (년),특용작물·버섯_경영주 평균 경력 (년),과수_경영주 평균 경력 (년),약용작물_경영주 평균 경력 (년),화초·관상작물_경영주 평균 경력 (년),기타작물_경영주 평균 경력 (년),축산_경영주 평균 경력 (년)
충청남도_계,"66,677","14,120","15,150","4,749","7,827",595,898,"6,265","5,861",39,30,33,32,30,23,24,30,32
천안시 동남구,"3,048",915,708,204,462,39,78,215,315,35,25,28,25,23,16,20,20,30
천안시 서북구,"2,101",830,313,154,"1,372",16,45,149,147,31,23,26,25,30,16,18,20,27
공주시,"4,810",987,767,327,"1,115",24,72,316,863,38,27,29,29,30,23,23,27,34
보령시,"5,269",898,629,204,181,15,25,311,260,39,29,32,33,26,18,18,27,31
아산시,"5,413","1,009",760,244,687,26,43,309,356,38,27,30,33,30,17,21,29,32
서산시,"6,563","1,351","1,863",204,187,22,153,428,311,41,30,36,33,26,21,25,29,35
논산시,"5,345",670,"1,891",263,595,19,45,677,377,39,29,31,33,30,27,23,28,29
계룡시,203,108,38,22,65,5,8,50,14,29,20,21,26,16,15,14,26,15
당진시,"6,877","1,580",547,79,247,5,51,388,403,42,33,36,34,29,29,18,34,34
금산군,"1,590",777,681,"1,540",239,147,32,870,125,42,33,31,34,29,26,25,34,29
부여군,"4,895",688,"1,551",345,906,35,46,437,376,39,30,33,24,30,25,23,31,29
서천군,"3,881",635,658,210,121,7,17,246,165,40,35,36,36,30,19,19,32,33
청양군,"3,018",636,"1,141",220,467,181,32,296,364,41,33,33,31,32,24,21,27,33
홍성군,"5,457","1,093","1,299",352,208,17,62,447,"1,094",40,31,35,37,21,27,21,30,34
예산군,"5,207",853,774,283,907,27,79,548,595,42,31,34,31,34,23,28,32,32
태안군,"3,000","1,090","1,530",98,68,10,110,578,96,40,33,35,34,21,29,33,35,31
