기준일자,시도,시군,행정구역코드,가뭄현황,가뭄전망-1,가뭄전망-2,가뭄전망-3
2022-01-01,서울,서울시,11000,0,0,0,0
2022-01-01,부산,부산,26000,0,0,0,0
2022-01-01,부산,기장군,26710,0,0,0,0
2022-01-01,대구,대구,27000,0,0,0,0
2022-01-01,대구,달성군,27710,0,0,0,0
2022-01-01,인천,인천,28000,0,0,0,0
2022-01-01,인천,강화군,28710,0,0,0,0
2022-01-01,인천,옹진군,28720,0,0,0,0
2022-01-01,광주,광주,29000,0,0,0,0
2022-01-01,대전,대전,30000,0,0,0,0
2022-01-01,울산,울산,31000,0,0,0,0
2022-01-01,울산,울주군,31710,0,0,0,0
2022-01-01,세종,세종시,36110,0,0,0,0
2022-01-01,경기,수원시,41110,0,0,0,0
2022-01-01,경기,성남시,41130,0,0,0,0
2022-01-01,경기,의정부시,41150,0,0,0,0
2022-01-01,경기,안양시,41170,0,0,0,0
2022-01-01,경기,부천시,41190,0,0,0,0
2022-01-01,경기,광명시,41210,0,0,0,0
2022-01-01,경기,평택시,41220,0,0,0,0
2022-01-01,경기,동두천시,41250,0,0,0,0
2022-01-01,경기,안산시,41270,0,0,0,0
2022-01-01,경기,고양시,41280,0,0,0,0
2022-01-01,경기,과천시,41290,0,0,0,0
2022-01-01,경기,구리시,41310,0,0,0,0
2022-01-01,경기,남양주시,41360,0,0,0,0
2022-01-01,경기,오산시,41370,0,0,0,0
2022-01-01,경기,시흥시,41390,0,0,0,0
2022-01-01,경기,군포시,41410,0,0,0,0
2022-01-01,경기,의왕시,41430,0,0,0,0
2022-01-01,경기,하남시,41450,0,0,0,0
2022-01-01,경기,용인시,41460,0,0,0,0
2022-01-01,경기,파주시,41480,0,0,0,0
2022-01-01,경기,이천시,41500,0,0,0,0
2022-01-01,경기,안성시,41550,0,0,0,0
2022-01-01,경기,김포시,41570,0,0,0,0
2022-01-01,경기,화성시,41590,0,0,0,0
2022-01-01,경기,광주시,41610,0,0,0,0
2022-01-01,경기,양주시,41630,0,0,0,0
2022-01-01,경기,포천시,41650,0,0,0,0
2022-01-01,경기,여주시,41670,0,0,0,0
2022-01-01,경기,연천군,41800,0,0,0,0
2022-01-01,경기,가평군,41820,0,0,0,0
2022-01-01,경기,양평군,41830,0,0,0,0
2022-01-01,강원,춘천시,42110,0,0,0,0
2022-01-01,강원,원주시,42130,0,0,0,0
2022-01-01,강원,강릉시,42150,0,0,0,0
2022-01-01,강원,동해시,42170,0,0,0,0
2022-01-01,강원,태백시,42190,0,0,0,0
2022-01-01,강원,속초시,42210,0,0,0,0
2022-01-01,강원,삼척시,42230,0,0,0,0
2022-01-01,강원,홍천군,42720,0,0,0,0
2022-01-01,강원,횡성군,42730,0,0,0,0
2022-01-01,강원,영월군,42750,0,0,0,0
2022-01-01,강원,평창군,42760,0,0,0,0
2022-01-01,강원,정선군,42770,0,0,0,0
2022-01-01,강원,철원군,42780,0,0,0,0
2022-01-01,강원,화천군,42790,0,0,0,0
2022-01-01,강원,양구군,42800,0,0,0,0
2022-01-01,강원,인제군,42810,0,0,0,0
2022-01-01,강원,고성군,42820,0,0,0,0
2022-01-01,강원,양양군,42830,0,0,0,0
2022-01-01,충북,청주시,43110,0,0,0,0
2022-01-01,충북,충주시,43130,0,0,0,0
2022-01-01,충북,제천시,43150,0,0,0,0
2022-01-01,충북,보은군,43720,0,0,0,0
2022-01-01,충북,옥천군,43730,0,0,0,0
2022-01-01,충북,영동군,43740,0,0,0,0
2022-01-01,충북,증평군,43745,0,0,0,0
2022-01-01,충북,진천군,43750,0,0,0,0
2022-01-01,충북,괴산군,43760,0,0,0,0
2022-01-01,충북,음성군,43770,0,0,0,0
2022-01-01,충북,단양군,43800,0,0,0,0
2022-01-01,충남,천안시,44130,0,0,0,0
2022-01-01,충남,공주시,44150,0,0,0,0
2022-01-01,충남,보령시,44180,0,0,0,0
2022-01-01,충남,아산시,44200,0,0,0,0
2022-01-01,충남,서산시,44210,0,0,0,0
2022-01-01,충남,논산시,44230,0,0,0,0
2022-01-01,충남,계룡시,44250,0,0,0,0
2022-01-01,충남,당진시,44270,0,0,0,0
2022-01-01,충남,금산군,44710,0,0,0,0
