시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(ha),저수율,평년,대비,단계검증
서울,서울시,0,0,0,0,0,0,100,정상
부산,부산(군제외),0,0,0,0,0,0,100,정상
부산,기장군,5,1489,236.6,828.2,91.3,86.9,105.1,정상
대구,대구(군제외),13,21243,221.2,6340.53,79.1,76.2,103.8,정상
대구,달성군,9,13107,1301,15083.95,79.9,71.1,112.4,정상
인천,인천(군제외),0,0,0,0,0,0,100,정상
인천,강화군,17,13363.7,5839.15,29263.1,82.5,76,108.6,정상
인천,옹진군,0,0,0,0,0,0,100,정상
광주,광주(군제외),52,4637,254.8,6083.47,61.3,67.5,90.8,정상
대전,대전(군제외),3,3514,314.9,4833.33,87.9,84.8,103.7,정상
울산,울산(군제외),7,1308,359.3,1866.89,74.7,76.8,97.3,정상
울산,울주군,78,9473,2280.32,11954,77.2,79.3,97.4,정상
세종,세종시,1,1620,477.5,4867.9,74.8,72.6,103,정상
경기,수원시,1,277,0,299,93.1,80.1,116.2,정상
경기,성남시,2,2700,51.15,1344.6,84.4,85.9,98.3,정상
경기,의정부시,0,0,0,0,0,0,100,정상
경기,안양시,0,0,0,0,0,0,100,정상
경기,부천시,0,0,0,0,0,0,100,정상
경기,광명시,0,0,0,0,0,0,100,정상
경기,평택시,5,732,106.4,467,86.9,81.6,106.5,정상
경기,동두천시,0,0,0,0,0,0,100,정상
경기,안산시,0,0,0,0,0,0,100,정상
경기,고양시,0,0,0,0,0,0,100,정상
경기,과천시,1,790,100.48,1092.5,99.4,93.7,106.1,정상
경기,구리시,0,0,0,0,0,0,100,정상
경기,남양주시,1,1552.12,276.94,2435.1,86.3,81.3,106.2,정상
경기,오산시,1,410,190.4,482.8,86.3,84.4,102.3,정상
경기,시흥시,5,2200,1017.2,2715.1,88.9,84.4,105.3,정상
경기,군포시,1,1220,365,1165.8,90.1,85.3,105.6,정상
경기,의왕시,2,2575,522.6,3456.3,86.1,78.9,109.1,정상
경기,하남시,0,0,0,0,0,0,100,정상
경기,용인시,6,17165,3768.2,36132.7,74.5,75.1,99.2,정상
경기,파주시,6,7206,1140.7,8267.6,86.4,82.5,104.7,정상
경기,이천시,4,1488,594.5,1864,91.6,87.5,104.7,정상
경기,안성시,18,18577,7440.3,46785.6,82,73,112.3,정상
경기,김포시,1,86.72,20.5,74,58.5,78.5,74.5,관심
경기,화성시,8,6159,2027.25,9968.4,87.5,75.5,115.9,정상
경기,광주시,2,1690,276.14,1183.3,90.8,90.8,100,정상
경기,양주시,6,1870,877,5705,93.2,74.9,124.4,정상
경기,포천시,12,6016.2,1419.9,8170.8,92.1,80.3,114.7,정상
경기,여주시,5,1650.9,434.6,4474,79.1,67.8,116.7,정상
경기,연천군,2,1072,136,1748.4,86.1,83.2,103.5,정상
경기,가평군,0,0,0,0,0,0,100,정상
