시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(천세제곱미터),저수율(퍼센트),평년(퍼센트),대비(퍼센트),단계
서울,서울시,0,0,0,0,0,0,100,정상
부산,부산(군제외),0,0,0,0,0,0,100,정상
부산,기장군,5,1489,236.6,828.2,100,88,113.6,정상
대구,대구(군제외),13,21243,188.8,6340.5,78.8,76.4,103.1,정상
대구,달성군,9,13107,1301,15083.9,95.8,71.9,133.3,정상
대구,군위군,19,3975.3,626.8,3610.81,98.9,77.8,127.1,정상
인천,인천(군제외),0,0,0,0,0,0,100,정상
인천,강화군,17,13363.7,5838,29263,92.4,83.6,110.5,정상
인천,옹진군,0,0,0,0,0,0,100,정상
광주,광주(군제외),49,4552,254.8,6066.3,90.2,66.1,136.4,정상
대전,대전(군제외),3,3514,314.9,4833.3,85.9,87.6,98,정상
울산,울산(군제외),7,1308,359.3,1866.9,93.9,77.9,120.6,정상
울산,울주군,78,9473,2280.32,11953.7,94.6,77.4,122.2,정상
세종,세종시,1,1620,477.5,4867.9,84.9,76.4,111.2,정상
경기,수원시,1,277,0,299,100,87.4,114.4,정상
경기,성남시,1,1950,4.5,855.8,100,91.4,109.4,정상
경기,의정부시,0,0,0,0,0,0,100,정상
경기,안양시,0,0,0,0,0,0,100,정상
경기,부천시,0,0,0,0,0,0,100,정상
경기,광명시,0,0,0,0,0,0,100,정상
경기,평택시,5,732,106.4,467,80.4,80.8,99.4,정상
경기,동두천시,0,0,0,0,0,0,100,정상
경기,안산시,0,0,0,0,0,0,100,정상
경기,고양시,0,0,0,0,0,0,100,정상
경기,과천시,1,790,100.48,1092.5,90.1,97.7,92.2,정상
경기,구리시,0,0,0,0,0,0,100,정상
경기,남양주시,1,1552.12,276.94,2435.1,88.9,81.8,108.6,정상
경기,오산시,1,410,190.4,482.8,100,90.6,110.4,정상
경기,시흥시,5,2200,1017.2,2715.1,99.9,92.5,108,정상
경기,군포시,1,1220,365,1165.8,99.7,97,102.8,정상
경기,의왕시,2,2575,516.1,3456.4,89.2,79.8,111.7,정상
경기,하남시,0,0,0,0,0,0,100,정상
경기,용인시,6,17165,3768.2,36132.7,84.9,81.5,104.2,정상
경기,파주시,6,7206,1140.7,8267.6,96.8,88.9,108.8,정상
경기,이천시,3,1388,594.5,1849,98.3,92.6,106.2,정상
경기,안성시,18,18577,7440.3,46785.6,93.3,82,113.7,정상
경기,김포시,1,86.72,20.5,74,98,78.9,124.2,정상
경기,화성시,8,6159,2027.25,9968.3,93.2,82.3,113.2,정상
경기,광주시,2,1690,276.14,1183.3,100,96.1,104.1,정상
경기,양주시,6,1870,877,5705,96.2,83.1,115.8,정상
경기,포천시,12,6016.2,1419.9,8170.8,95.8,86.3,111,정상
경기,여주시,5,1693.6,434.6,4474,93.9,70.9,132.4,정상
경기,연천군,2,1072,136,1748.4,75,91.5,82,정상
