시도,시군,시설개수,유역면적(헥타르),수혜면적(헥타르),유효저수량(천세제곱미터),저수율(퍼센트),평년(퍼센트),대비(퍼센트),단계
서울,서울시,0,0,0,0,0,0,100,정상
부산,부산(군제외),0,0,0,0,0,0,100,정상
부산,기장군,5,1489,236.6,828.2,91.8,86,106.7,정상
대구,대구(군제외),13,21243,188.8,6340.5,78.7,77,102.2,정상
대구,달성군,9,13107,1301,15083.9,91.8,74,124.1,정상
대구,군위군,19,3975.3,626.8,3610.81,88.3,80.9,109.1,정상
인천,인천(군제외),0,0,0,0,0,0,100,정상
인천,강화군,18,14213.7,6010.15,29888.1,96.9,84.5,114.7,정상
인천,옹진군,0,0,0,0,0,0,100,정상
광주,광주,48,4176,166.5,5617.3,82.3,69.1,119.1,정상
대전,대전,3,3514,314.9,4833.3,90.6,90.3,100.3,정상
울산,울산(군제외),7,1308,359.3,1866.9,83.5,81.4,102.6,정상
울산,울주군,78,9487,2280.32,11981.4,77.6,79.5,97.6,정상
세종,세종시,1,1620,477.5,4867.9,84.4,74.8,112.8,정상
경기,수원시,1,277,0,299,97,86.5,112.1,정상
경기,성남시,1,1950,4.5,855.8,100,90.1,111,정상
경기,의정부시,0,0,0,0,0,0,100,정상
경기,안양시,0,0,0,0,0,0,100,정상
경기,부천시,0,0,0,0,0,0,100,정상
경기,광명시,0,0,0,0,0,0,100,정상
경기,평택시,5,732,106.4,467,96.7,76.6,126.2,정상
경기,동두천시,0,0,0,0,0,0,100,정상
경기,안산시,0,0,0,0,0,0,100,정상
경기,고양시,0,0,0,0,0,0,100,정상
경기,과천시,1,790,100.48,1092.5,100,97.6,102.5,정상
경기,구리시,0,0,0,0,0,0,100,정상
경기,남양주시,1,1552.12,276.94,2435.1,100,82.1,121.8,정상
경기,오산시,1,410,190.4,482.8,100,92.5,108.1,정상
경기,시흥시,5,2200,1017.2,2715.1,96.4,92.2,104.6,정상
경기,군포시,1,1220,365,1165.8,100,96.4,103.7,정상
경기,의왕시,2,2575,516.1,3456.4,90.4,80,113,정상
경기,하남시,0,0,0,0,0,0,100,정상
경기,용인시,6,17165,3768.2,36132.7,82.1,81.8,100.4,정상
경기,파주시,6,7206,1140.7,8267.6,88.1,88.7,99.3,정상
경기,이천시,3,1388,594.5,1849,99.8,92.3,108.1,정상
경기,안성시,18,18577,7440.3,46785.6,89.8,81.9,109.6,정상
경기,김포시,1,86.72,20.5,74,71.2,79.5,89.6,정상
경기,화성시,8,6159,2027.25,9968.3,95.3,84.3,113,정상
경기,광주시,2,1690,276.14,1183.3,100,96.4,103.7,정상
경기,양주시,6,1870,877,5705,100,84.2,118.8,정상
경기,포천시,12,6016.2,1281.9,8170.8,81.6,86.9,93.9,정상
경기,여주시,5,1693.6,434.6,4474,99.5,73.4,135.6,정상
경기,연천군,2,1072,136,1748.4,94.8,91.2,103.9,정상
