"시도","시군","시설개수","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"서울","서울시","0","0","0","0","0","0","100","관심"
"부산","부산(군제외)","0","0","0","0","0","0","100","관심"
"부산","기장군","5","1489","236","828.2","100","84.1","118.9","관심"
"대구","대구(군제외)","13","21243","221","6521.50","79.4","74.2","107","관심"
"대구","달성군","9","13107","1301","15084","98.3","65.6","149.8","관심"
"인천","인천(군제외)","0","0","0","0","0","0","100","관심"
"인천","강화군","17","13363","5839","29263.10","86.4","76.6","112.8","관심"
"인천","옹진군","0","0","0","0","0","0","100","관심"
"광주","광주(군제외)","52","4637","254","6083.50","87.9","63.8","137.8","관심"
"대전","대전(군제외)","3","3514","314","4833.30","94.5","84.9","111.3","관심"
"울산","울산(군제외)","8","1393","359","1912.90","97.1","71.6","135.6","관심"
"울산","울주군","77","9387","2216","11522.10","94.9","73.2","129.6","관심"
"세종","세종시","1","1620","477","4867.90","83.9","68","123.4","관심"
"경기","수원시","1","277","0","299","98.8","73.1","135.2","관심"
"경기","성남시","2","2700","51","1344.60","88.6","85.8","103.3","관심"
"경기","의정부시","0","0","0","0","0","0","100","관심"
"경기","안양시","0","0","0","0","0","0","100","관심"
"경기","부천시","0","0","0","0","0","0","100","관심"
"경기","광명시","0","0","0","0","0","0","100","관심"
"경기","평택시","5","732","106","467","98","84","116.7","관심"
"경기","동두천시","0","0","0","0","0","0","100","관심"
"경기","안산시","0","0","0","0","0","0","100","관심"
"경기","고양시","0","0","0","0","0","0","100","관심"
"경기","과천시","1","790","100","1092.50","97.4","90","108.2","관심"
"경기","구리시","0","0","0","0","0","0","100","관심"
"경기","남양주시","1","1552","328","2435.10","95.7","82.8","115.6","관심"
"경기","오산시","1","410","190","482.8","98.5","83","118.7","관심"
"경기","시흥시","5","2200","1017","2715.10","88.4","81","109.1","관심"
"경기","군포시","1","1220","365","1165.80","68.2","77.9","87.5","관심"
"경기","의왕시","2","2575","540","3456.30","86.1","77.9","110.5","관심"
"경기","하남시","0","0","0","0","0","0","100","관심"
"경기","용인시","6","17165","4087","36132.70","71.3","73.9","96.5","관심"
"경기","파주시","6","7206","1140","8267.60","87.9","79.2","111","관심"
"경기","이천시","4","1488","594","1864","71.1","87.7","81.1","관심"
"경기","안성시","18","18577","7440","46785.60","80.6","72","111.9","관심"
"경기","김포시","1","86","20","74","94","79.7","117.9","관심"
"경기","화성시","8","6159","2027","9968.40","74.9","70.9","105.6","관심"
"경기","광주시","2","1690","331","1183.30","100","89.1","112.2","관심"
"경기","양주시","7","1996","953","6425","98.1","75.3","130.3","관심"
"경기","포천시","12","6016","1419","8170.80","94.3","75.4","125.1","관심"
"경기","여주시","5","1650","434","4474","74.6","64.7","115.3","관심"
"경기","연천군","2","1072","136","1748.40","88.9","74.9","118.7","관심"
"경기","가평군","0","0","0","0","0","0","100","관심"
"경기","양평군","6","3398","488","2272.60","91","70.8","128.5","관심"
"강원","춘천시","7","5403","838","8450","87.4","68.6","127.4","관심"
"강원","원주시","16","18703","1565","11845.10","97.5","70.7","137.9","관심"
"강원","강릉시","11","26163","2431","25255.40","88.6","77.6","114.2","관심"
"강원","동해시","0","0","0","0","0","0","100","관심"
"강원","태백시","0","0","0","0","0","0","100","관심"
"강원","속초시","1","134","0","6.5","100","84","119","관심"
"강원","삼척시","3","2615","178","1330.70","100","93.3","107.2","관심"
"강원","홍천군","15","8917","1184","10877.80","97.4","70.9","137.4","관심"
"강원","횡성군","6","2982","488","3452","95.5","78.3","122","관심"
"강원","영월군","0","0","0","0","0","0","100","관심"
"강원","평창군","2","2610","272","1138","97.8","89.8","108.9","관심"
"강원","정선군","0","0","0","0","0","0","100","관심"
"강원","철원군","8","15347","4115","33386","91.2","79.7","114.4","관심"
"강원","화천군","0","0","0","0","0","0","100","관심"
"강원","양구군","2","1600","294","2160","89","82.1","108.4","관심"
"강원","인제군","0","0","0","0","0","0","100","관심"
"강원","고성군","5","6695","1590","11227.60","87.7","74.6","117.6","관심"
"강원","양양군","2","2358","452","2975","99.2","79.9","124.2","관심"
"충북","청주시","16","7979","2278","14126.40","95.6","69.5","137.6","관심"
"충북","충주시","20","11102","2991","22001","96.6","68.2","141.6","관심"
"충북","제천시","16","7642","914","5258.70","98.6","85.8","114.9","관심"
"충북","보은군","17","11802","3212","26867.40","89.8","52.2","172","관심"
"충북","옥천군","27","8975","1831","13152.30","90","74.4","121","관심"
"충북","영동군","18","8054","1148","8350.70","92.6","65.8","140.7","관심"
"충북","증평군","7","1377","476","3119.70","89.5","44.3","202","관심"
"충북","진천군","12","29532","7013","54057.80","91","68.3","133.2","관심"
"충북","괴산군","19","7401","2191","14643.50","94","73.9","127.2","관심"
"충북","음성군","30","11573","4087","31453.40","90","76.6","117.5","관심"
"충북","단양군","1","220","54","209","100","88.7","112.7","관심"
"충남","천안시","20","8281","2323","11580.20","92.3","73.7","125.2","관심"
"충남","공주시","12","7962","2272","19350","86","60.1","143.1","관심"
"충남","보령시","30","13115","4375","30028.80","87.7","67.5","129.9","관심"
"충남","아산시","18","15448","4906","25788.20","90.5","75.8","119.4","관심"
"충남","서산시","16","12460","4801","28669.70","66.1","73.1","90.4","관심"
"충남","논산시","26","24564","6407","38123.10","84.2","60.2","139.9","관심"
"충남","계룡시","0","0","0","0","0","0","100","관심"
"충남","당진시","10","6222","1088","5581.70","85.1","77.6","109.7","관심"
"충남","금산군","9","3442","685","5557.20","86.5","62.4","138.6","관심"
"충남","부여군","10","7876","3260","20966.40","85.9","64.4","133.4","관심"
"충남","서천군","7","9262","5336","25397.50","78.4","65.5","119.7","관심"
"충남","청양군","27","8139","3356","23409.20","90","67.4","133.5","관심"
"충남","홍성군","9","7372","1802","10429.20","73.5","67.2","109.4","관심"
"충남","예산군","13","42846","8654","59873.60","76.2","61.5","123.9","관심"
"충남","태안군","18","4773","1695","8995.20","84.2","79","106.6","관심"
"전북","전주시","6","12716","822","3860.40","79.4","60.8","130.6","관심"
"전북","군산시","25","2117","4682","24287.80","72.5","66.7","108.7","관심"
"전북","익산시","28","4540","1811","6839.40","94.9","67","141.6","관심"
"전북","정읍시","28","8901","2924","27425.70","67.4","55.4","121.7","관심"
"전북","남원시","76","8406","2247","15840.70","83.9","62.6","134","관심"
"전북","김제시","23","6219","2066","21042.80","89.6","60.8","147.4","관심"
"전북","완주군","39","42692","21978","114090.80","80.1","56.4","142","관심"
"전북","진안군","24","6951","1109","13561.50","86.3","42.8","201.6","관심"
"전북","무주군","9","8140","1125","9146","87.8","55.1","159.3","관심"
"전북","장수군","34","20061","5787","66896.80","77.6","59.5","130.4","관심"
"전북","임실군","34","84870","33338","271569","99.7","74.1","134.5","관심"
"전북","순창군","35","16797","2391","12402","89.4","74.3","120.3","관심"
"전북","고창군","36","20416","8232","38010.60","67.5","57.5","117.4","관심"
"전북","부안군","22","5128","1576","29674.10","56.1","66.5","84.4","관심"
"전남","목포시","0","0","0","0","0","0","100","관심"
"전남","여수시","18","4248","1239","6086.60","92.6","73.2","126.5","관심"
"전남","순천시","20","5610","1586","7328.50","89.1","67.4","132.2","관심"
"전남","나주시","162","25746","9589","123923.10","49.3","52.5","93.9","관심"
"전남","광양시","10","6248","1382","6357.30","94.8","74.8","126.7","관심"
