"시도","시군","시설개수","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"서울","서울시","0","0","0","0","0","0","100","정상"
"부산","부산(군제외)","0","0","0","0","0","0","100","정상"
"부산","기장군","5","1489","236","828.2","69.1","89.6","77.1","정상"
"대구","대구(군제외)","13","21243","221","6522","85.1","74.2","114.7","정상"
"대구","달성군","9","13107","1301","15084","96.4","68.4","140.9","정상"
"인천","인천(군제외)","0","0","0","0","0","0","100","정상"
"인천","강화군","17","13363","5839","29263","87.8","82.3","106.7","정상"
"인천","옹진군","0","0","0","0","0","0","100","정상"
"광주","광주(군제외)","52","4637","254","6084","94","65","144.6","정상"
"대전","대전(군제외)","3","3514","314","4833","96.3","87.5","110.1","정상"
"울산","울산(군제외)","7","1308","359","1867","99.3","75.4","131.7","정상"
"울산","울주군","77","9337","2216","11522","92.9","77.3","120.2","정상"
"세종","세종시","1","1620","477","4868","67.6","75.8","89.2","정상"
"경기","수원시","1","277","0","299","100","89.6","111.6","정상"
"경기","성남시","2","2700","51","1345","89.9","85.3","105.4","정상"
"경기","의정부시","0","0","0","0","0","0","100","정상"
"경기","안양시","0","0","0","0","0","0","100","정상"
"경기","부천시","0","0","0","0","0","0","100","정상"
"경기","광명시","0","0","0","0","0","0","100","정상"
"경기","평택시","5","732","106","467","98.1","79.1","124","정상"
"경기","동두천시","0","0","0","0","0","0","100","정상"
"경기","안산시","0","0","0","0","0","0","100","정상"
"경기","고양시","0","0","0","0","0","0","100","정상"
"경기","과천시","1","790","100","1093","99.1","97.3","101.8","정상"
"경기","구리시","0","0","0","0","0","0","100","정상"
"경기","남양주시","1","1552","276","2435","99","84.2","117.6","정상"
"경기","오산시","1","410","190","482.8","100","91.1","109.8","정상"
"경기","시흥시","5","2200","1017","2715","99.8","93.1","107.2","정상"
"경기","군포시","1","1220","365","1166","100","97","103.1","정상"
"경기","의왕시","2","2575","540","3456","79.2","80.2","98.8","정상"
"경기","하남시","0","0","0","0","0","0","100","정상"
"경기","용인시","6","17165","3768","36133","70.7","82.1","86.1","정상"
"경기","파주시","6","7206","1140","8268","100","88.1","113.5","정상"
"경기","이천시","4","1488","594","1864","97.3","91.6","106.2","정상"
"경기","안성시","18","18577","7440","46786","80.5","80.9","99.5","정상"
"경기","김포시","1","86","20","74","70.5","82.1","85.9","정상"
"경기","화성시","8","6159","2027","9968","95.9","80.2","119.6","정상"
"경기","광주시","2","1690","276","1183","99.3","95.6","103.9","정상"
"경기","양주시","6","1870","877","5705","100","80.9","123.6","정상"
"경기","포천시","12","6016","1419","8171","98.3","84.7","116.1","정상"
"경기","여주시","5","1650","434","4474","87.3","69.2","126.2","정상"
"경기","연천군","2","1072","136","1748","100","91.1","109.8","정상"
"경기","가평군","0","0","0","0","0","0","100","정상"
"경기","양평군","6","3398","477","2273","98.4","75.9","129.6","정상"
