"시도","시군","시설개수","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"서울","서울시","0","0","0","0","0","0","100","정상"
"부산","부산(군제외)","0","0","0","0","0","0","100","정상"
"부산","기장군","5","1489","236","828.2","85.8","89.3","96.1","정상"
"대구","대구(군제외)","13","21243","221","6340.50","82.9","77.4","107.1","정상"
"대구","달성군","9","13107","1301","15084","94.3","75.7","124.6","정상"
"인천","인천(군제외)","0","0","0","0","0","0","100","정상"
"인천","강화군","17","13363","5839","29263.10","91.8","85.3","107.6","정상"
"인천","옹진군","0","0","0","0","0","0","100","정상"
"광주","광주(군제외)","52","4637","254","6083.50","90.4","72.4","124.9","정상"
"대전","대전(군제외)","3","3514","314","4833.30","100","88.6","112.9","정상"
"울산","울산(군제외)","7","1308","359","1866.90","89","81.8","108.8","정상"
"울산","울주군","77","9337","2216","11522.10","94.3","85.3","110.6","정상"
"세종","세종시","1","1620","477","4867.90","83.5","82.9","100.7","정상"
"경기","수원시","1","277","0","299","100","92.9","107.6","정상"
"경기","성남시","2","2700","51","1344.60","89.8","89.6","100.2","정상"
"경기","의정부시","0","0","0","0","0","0","100","정상"
"경기","안양시","0","0","0","0","0","0","100","정상"
"경기","부천시","0","0","0","0","0","0","100","정상"
"경기","광명시","0","0","0","0","0","0","100","정상"
"경기","평택시","5","732","106","467","99.1","84.1","117.8","정상"
"경기","동두천시","0","0","0","0","0","0","100","정상"
"경기","안산시","0","0","0","0","0","0","100","정상"
"경기","고양시","0","0","0","0","0","0","100","정상"
"경기","과천시","1","790","100","1092.50","99.2","96.9","102.4","정상"
"경기","구리시","0","0","0","0","0","0","100","정상"
"경기","남양주시","1","1552","276","2435.10","99","87.8","112.8","정상"
"경기","오산시","1","410","190","482.8","67.2","94.8","70.9","정상"
"경기","시흥시","5","2200","1017","2715.10","90.8","97.6","93","정상"
"경기","군포시","1","1220","365","1165.80","100","99.1","100.9","정상"
"경기","의왕시","2","2575","540","3456.30","90.1","86.9","103.7","정상"
"경기","하남시","0","0","0","0","0","0","100","정상"
"경기","용인시","6","17165","3768","36132.70","98","90.2","108.6","정상"
"경기","파주시","6","7206","1140","8267.60","99.2","93.1","106.6","정상"
"경기","이천시","4","1488","594","1864","98.6","96.6","102.1","정상"
"경기","안성시","18","18577","7440","46785.60","94","86.7","108.4","정상"
"경기","김포시","1","86","20","74","78","86.8","89.9","정상"
"경기","화성시","8","6159","2027","9968.40","97.6","89.1","109.5","정상"
"경기","광주시","2","1690","276","1183.30","99.6","98","101.6","정상"
"경기","양주시","6","1870","877","5705","99.9","84.9","117.7","정상"
"경기","포천시","12","6016","1419","8170.80","99.9","89","112.2","정상"
"경기","여주시","5","1650","434","4474","93","74.2","125.3","정상"
"경기","연천군","2","1072","136","1748.40","100","95.2","105","정상"
"경기","가평군","0","0","0","0","0","0","100","정상"
