시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(ha),저수율,평년,대비,단계
서울,서울시,0,0,0,0,0,0,100,정상
부산,부산(군제외),0,0,0,0,0,0,100,정상
부산,기장군,5,1489,236.6,828.2,99.54,89.95,110.7,정상
대구,대구(군제외),13,21243,221.2,6340.53,85.5,78.59,108.8,정상
대구,달성군,9,13107,1301,15083.95,87.57,77.59,112.9,정상
인천,인천(군제외),0,0,0,0,0,0,100,정상
인천,강화군,17,13363.7,5839.15,29263.1,89.36,84.59,105.6,정상
인천,옹진군,0,0,0,0,0,0,100,정상
광주,광주(군제외),52,4637,254.8,6083.47,84.52,73.68,114.7,정상
대전,대전(군제외),3,3514,314.9,4833.33,99.98,89.54,111.7,정상
울산,울산(군제외),7,1308,359.3,1866.89,76.35,84.56,90.3,정상
울산,울주군,78,9473,2280.32,11954,85.86,85.83,100,정상
세종,세종시,1,1620,477.5,4867.9,83.6,83.45,100.2,정상
경기,수원시,1,277,0,299,98.8,91.81,107.6,정상
경기,성남시,2,2700,51.15,1344.6,87.82,90.69,96.8,정상
경기,의정부시,0,0,0,0,0,0,100,정상
경기,안양시,0,0,0,0,0,0,100,정상
경기,부천시,0,0,0,0,0,0,100,정상
경기,광명시,0,0,0,0,0,0,100,정상
경기,평택시,5,732,106.4,467,90.5,84.45,107.2,정상
경기,동두천시,0,0,0,0,0,0,100,정상
경기,안산시,0,0,0,0,0,0,100,정상
경기,고양시,0,0,0,0,0,0,100,정상
경기,과천시,1,790,100.48,1092.5,99.4,96.37,103.1,정상
경기,구리시,0,0,0,0,0,0,100,정상
경기,남양주시,1,1552.12,276.94,2435.1,85.8,89.31,96.1,정상
경기,오산시,1,410,190.4,482.8,98.2,93.69,104.8,정상
경기,시흥시,5,2200,1017.2,2715.1,99.4,95.86,103.7,정상
경기,군포시,1,1220,365,1165.8,100,99.35,100.7,정상
경기,의왕시,2,2575,522.6,3456.3,92.5,87.25,106,정상
경기,하남시,0,0,0,0,0,0,100,정상
경기,용인시,6,17165,3768.2,36132.7,98.7,90.51,109,정상
경기,파주시,6,7206,1140.7,8267.6,90.77,92.67,97.9,정상
경기,이천시,4,1488,594.5,1864,98.02,96.79,101.3,정상
경기,안성시,18,18577,7440.3,46785.6,94.7,86.42,109.6,정상
경기,김포시,1,86.72,20.5,74,55,85.82,64.1,주의
경기,화성시,8,6159,2027.25,9968.4,98.73,88.68,111.3,정상
경기,광주시,2,1690,276.14,1183.3,100,98.07,102,정상
경기,양주시,6,1870,877,5705,99.88,85.27,117.1,정상
경기,포천시,12,6016.2,1419.9,8170.8,96.51,89.99,107.2,정상
경기,여주시,5,1650.9,434.6,4474,90.2,75.63,119.3,정상
경기,연천군,2,1072,136,1748.4,99.29,94.61,104.9,정상
경기,가평군,0,0,0,0,0,0,100,정상
