"시도","시군","시설(개수)","유역면적(ha)","수혜면적(ha)","유효저수량(ha)","저수율","평년","대비","단계"
"서울","서울시","0","0","0","0","0","0","100","관심"
"부산","부산(군제외)","0","0","0","0","0","0","100","관심"
"부산","기장군","5","1489","236","828.2","91.9","86.4","106.4","관심"
"대구","대구(군제외)","13","21243","165","6521.50","77.9","74.2","105","관심"
"대구","달성군","9","13107","1329","15084","95.3","67","142.2","관심"
"인천","인천(군제외)","0","0","0","0","0","0","100","관심"
"인천","강화군","17","13363","5839","29263.10","86.4","81.9","105.5","관심"
"인천","옹진군","0","0","0","0","0","0","100","관심"
"광주","광주(군제외)","52","4637","254","6083.50","86","63.9","134.6","관심"
"대전","대전(군제외)","3","3514","314","4833.30","100","86","116.3","관심"
"울산","울산(군제외)","8","1393","359","1912.90","96.1","74.3","129.3","관심"
"울산","울주군","77","9387","2216","11522.10","93.2","73.6","126.6","관심"
"세종","세종시","1","1620","477","4867.90","83.5","76.3","109.4","관심"
"경기","수원시","1","277","0","299","100","89.6","111.6","관심"
"경기","성남시","2","2700","51","1344.60","89.1","85.2","104.6","관심"
"경기","의정부시","0","0","0","0","0","0","100","관심"
"경기","안양시","0","0","0","0","0","0","100","관심"
"경기","부천시","0","0","0","0","0","0","100","관심"
"경기","광명시","0","0","0","0","0","0","100","관심"
"경기","평택시","5","732","106","467","98","78.9","124.2","관심"
"경기","동두천시","0","0","0","0","0","0","100","관심"
"경기","안산시","0","0","0","0","0","0","100","관심"
"경기","고양시","0","0","0","0","0","0","100","관심"
"경기","과천시","1","790","100","1092.50","77.2","96.3","80.2","관심"
"경기","구리시","0","0","0","0","0","0","100","관심"
"경기","남양주시","1","1552","328","2435.10","87.4","85.6","102.1","관심"
"경기","오산시","1","410","190","482.8","100","91.1","109.8","관심"
"경기","시흥시","5","2200","1017","2715.10","99.7","92.8","107.4","관심"
"경기","군포시","1","1220","365","1165.80","100","96.6","103.5","관심"
"경기","의왕시","2","2575","540","3456.30","94.6","80","118.3","관심"
"경기","하남시","0","0","0","0","0","0","100","관심"
"경기","용인시","6","17165","4087","36132.70","83.9","81.7","102.7","관심"
"경기","파주시","6","7206","1140","8267.60","87.3","88.4","98.8","관심"
"경기","이천시","4","1488","594","1864","78.9","92.5","85.3","관심"
"경기","안성시","18","18577","7440","46785.60","91.3","81","112.7","관심"
"경기","김포시","1","86","20","74","92","83.1","110.7","관심"
"경기","화성시","8","6159","2027","9968.40","95.7","81.1","118","관심"
"경기","광주시","2","1690","331","1183.30","94.4","95.9","98.4","관심"
"경기","양주시","7","2110","953","6425","98.8","81.1","121.8","관심"
"경기","포천시","12","6016","1419","8170.80","91.5","85","107.6","관심"
"경기","여주시","5","1650","434","4474","85.5","69","123.9","관심"
"경기","연천군","2","1072","136","1748.40","97.1","91.6","106","관심"
"경기","가평군","0","0","0","0","0","0","100","관심"
"경기","양평군","6","3398","488","2272.60","99.8","74.8","133.4","관심"
"강원","춘천시","7","5403","838","8450","90.8","70.2","129.3","관심"
"강원","원주시","16","18703","1565","11845.10","99.4","75.8","131.1","관심"
"강원","강릉시","11","26163","2431","25255.40","88.5","83.2","106.4","관심"
"강원","동해시","0","0","0","0","0","0","100","관심"
"강원","태백시","0","0","0","0","0","0","100","관심"
"강원","속초시","1","134","0","6.5","100","100","100","관심"
"강원","삼척시","3","2615","178","1330.70","99.4","90.5","109.8","관심"
"강원","홍천군","15","8917","1184","10877.80","99.7","76","131.2","관심"
"강원","횡성군","6","2982","488","3452","99.7","85.3","116.9","관심"
"강원","영월군","0","0","0","0","0","0","100","관심"
"강원","평창군","2","2610","272","1138","100","93.1","107.4","관심"
"강원","정선군","0","0","0","0","0","0","100","관심"
"강원","철원군","8","15347","4115","33386","82.9","84.5","98.1","관심"
"강원","화천군","0","0","0","0","0","0","100","관심"
"강원","양구군","2","1600","294","2160","99.6","92.2","108","관심"
"강원","인제군","0","0","0","0","0","0","100","관심"
"강원","고성군","5","6695","1590","11227.60","83","78.8","105.3","관심"
"강원","양양군","2","2358","452","2975","100","84.5","118.3","관심"
"충북","청주시","16","7979","2278","14126.40","96.4","81.3","118.6","관심"
"충북","충주시","20","10987","2991","22001","99.3","75.9","130.8","관심"
"충북","제천시","16","7544","914","5258.70","99.9","92.6","107.9","관심"
"충북","보은군","17","11802","3212","26867.40","93.1","58.4","159.4","관심"
"충북","옥천군","27","8975","1831","13152.30","89.1","80.4","110.8","관심"
"충북","영동군","18","8054","1148","8350.70","99.1","72.7","136.3","관심"
"충북","증평군","6","1368","476","3116.40","89.5","47.2","189.6","관심"
"충북","진천군","12","29532","7013","54057.80","92.7","76.3","121.5","관심"
"충북","괴산군","19","7401","2191","14643.50","96.6","79.5","121.5","관심"
"충북","음성군","30","11573","4087","31453.40","91","81.4","111.8","관심"
"충북","단양군","1","220","54","209","100","91.5","109.3","관심"
"충남","천안시","20","8281","2323","11580.20","98.9","79.6","124.2","관심"
"충남","공주시","12","7962","2272","19350","91.5","67","136.6","관심"
"충남","보령시","30","13115","4375","30028.80","96.9","80","121.1","관심"
"충남","아산시","18","15448","4906","25788.20","97.6","82.3","118.6","관심"
"충남","서산시","16","12460","4801","28669.70","92","80","115","관심"
"충남","논산시","26","24564","6407","38123.10","93","77.4","120.2","관심"
"충남","계룡시","0","0","0","0","0","0","100","관심"
"충남","당진시","10","6222","1088","5581.70","96.3","81.2","118.6","관심"
"충남","금산군","9","3442","685","5557.20","91","67.6","134.6","관심"
"충남","부여군","10","7876","3260","20966.40","94.8","72.3","131.1","관심"
"충남","서천군","7","9262","5336","25397.50","96.2","78.4","122.7","관심"
"충남","청양군","27","8139","3356","23409.20","98.6","72.4","136.2","관심"
"충남","홍성군","9","7372","1802","10429.20","87.9","76.9","114.3","관심"
"충남","예산군","13","42846","8654","59873.60","98.3","82.8","118.7","관심"
"충남","태안군","18","4773","1695","8995.20","97.1","87.3","111.2","관심"
"전북","전주시","6","12716","822","3860.40","84","70.4","119.3","관심"
"전북","군산시","25","2117","4682","24287.80","72.9","70.1","104","관심"
"전북","익산시","27","4490","1806","6802.40","100","79.3","126.1","관심"
"전북","정읍시","28","8901","2924","27425.70","84.7","61.4","137.9","관심"
"전북","남원시","76","8406","2247","15840.70","71","69","102.9","관심"
"전북","김제시","22","6177","2066","21026.90","90.1","64.6","139.5","관심"
"전북","완주군","39","42692","21978","114090.80","82.1","56","146.6","관심"
"전북","진안군","24","6951","1109","13561.50","83.8","46.6","179.8","관심"
"전북","무주군","9","8140","1125","9146","87.1","55.8","156.1","관심"
"전북","장수군","34","20061","5787","66896.80","76.1","60.1","126.6","관심"
"전북","임실군","34","84870","33338","271569","99.9","78.5","127.3","관심"
"전북","순창군","35","16875","2608","12402","85.7","80.3","106.7","관심"
"전북","고창군","36","20416","8232","38010.60","83.6","69.6","120.1","관심"
"전북","부안군","22","5128","1576","29674.10","54.8","69.6","78.7","관심"
"전남","목포시","0","0","0","0","0","0","100","관심"
"전남","여수시","18","4248","1239","6086.60","98.2","76","129.2","관심"
"전남","순천시","20","5610","1586","7328.50","96.1","76.4","125.8","관심"
"전남","나주시","162","25746","9589","123923.10","58.7","54.2","108.3","관심"
"전남","광양시","10","6248","1382","6357.30","99.6","83.1","119.9","관심"
"전남","담양군","47","17382","10353","98416.60","61.1","60.2","101.5","관심"
