기준일자,표준코드,저수율,평년,평년대비,가뭄단계
2022-01-01,42150,86,82,106,정상
2022-01-02,42150,86,82,106,정상
2022-01-03,42150,86,82,106,정상
2022-01-04,42150,86,82,105,정상
2022-01-05,42150,85,82,105,정상
2022-01-06,42150,85,82,105,정상
2022-01-07,42150,85,82,105,정상
2022-01-08,42150,85,82,105,정상
2022-01-09,42150,85,82,105,정상
2022-01-10,42150,84,82,104,정상
2022-01-11,42150,84,82,104,정상
2022-01-12,42150,84,82,103,정상
2022-01-13,42150,84,82,103,정상
2022-01-14,42150,84,82,103,정상
2022-01-15,42150,84,82,103,정상
2022-01-16,42150,84,82,103,정상
2022-01-17,42150,83,82,102,정상
2022-01-18,42150,83,82,101,정상
2022-01-19,42150,82,82,101,정상
2022-01-20,42150,82,82,101,정상
2022-01-21,42150,82,82,100,정상
2022-01-22,42150,82,82,100,정상
2022-01-23,42150,82,82,100,정상
2022-01-24,42150,81,82,100,정상
2022-01-25,42150,81,82,99,정상
2022-01-26,42150,81,82,99,정상
2022-01-27,42150,81,82,99,정상
2022-01-28,42150,80,82,99,정상
2022-01-29,42150,80,82,99,정상
2022-01-30,42150,80,82,99,정상
2022-01-31,42150,80,82,99,정상
2022-02-01,42150,80,82,99,정상
2022-02-02,42150,80,82,99,정상
2022-02-03,42150,79,82,97,정상
2022-02-04,42150,79,82,97,정상
2022-02-05,42150,79,82,97,정상
2022-02-06,42150,79,82,97,정상
2022-02-07,42150,78,82,96,정상
2022-02-08,42150,78,82,95,정상
2022-02-09,42150,78,82,95,정상
2022-02-10,42150,77,82,95,정상
2022-02-11,42150,77,82,94,정상
2022-02-12,42150,77,82,94,정상
2022-02-13,42150,77,82,94,정상
2022-02-14,42150,77,82,94,정상
2022-02-15,42150,76,82,94,정상
2022-02-16,42150,76,82,93,정상
2022-02-17,42150,76,82,93,정상
2022-02-18,42150,76,82,93,정상
2022-02-19,42150,76,82,93,정상
2022-02-20,42150,76,82,93,정상
2022-02-21,42150,75,82,92,정상
2022-02-22,42150,75,82,92,정상
2022-02-23,42150,75,82,92,정상
2022-02-24,42150,74,82,91,정상
2022-02-25,42150,74,82,91,정상
2022-02-26,42150,74,82,91,정상
2022-02-27,42150,74,82,91,정상
2022-02-28,42150,73,82,90,정상
2022-03-01,42150,73,82,90,정상
2022-03-02,42150,73,82,89,정상
2022-03-03,42150,73,82,89,정상
2022-03-04,42150,72,82,88,정상
2022-03-05,42150,72,83,88,정상
2022-03-06,42150,72,83,88,정상
2022-03-07,42150,72,83,87,정상
2022-03-08,42150,72,83,87,정상
2022-03-09,42150,72,83,87,정상
2022-03-10,42150,71,83,86,정상
2022-03-11,42150,71,83,86,정상
2022-03-12,42150,71,83,86,정상
2022-03-13,42150,71,83,85,정상
2022-03-14,42150,71,84,85,정상
2022-03-15,42150,71,84,84,정상
2022-03-16,42150,71,84,84,정상
2022-03-17,42150,70,85,84,정상
2022-03-18,42150,71,85,84,정상
2022-03-19,42150,71,85,84,정상
2022-03-20,42150,71,85,83,정상
2022-03-21,42150,72,86,84,정상
2022-03-22,42150,72,86,84,정상
2022-03-23,42150,72,86,84,정상
2022-03-24,42150,73,86,84,정상
2022-03-25,42150,73,87,85,정상
2022-03-26,42150,73,87,84,정상
2022-03-27,42150,73,87,84,정상
2022-03-28,42150,76,87,87,정상
2022-03-29,42150,76,87,88,정상
2022-03-30,42150,76,87,88,정상
2022-03-31,42150,77,87,88,정상
2022-04-01,42150,78,88,89,정상
2022-04-02,42150,78,88,89,정상
2022-04-03,42150,78,88,88,정상
2022-04-04,42150,79,88,90,정상
2022-04-05,42150,79,88,89,정상
2022-04-06,42150,79,89,89,정상
2022-04-07,42150,79,89,89,정상
2022-04-08,42150,79,89,90,정상
2022-04-09,42150,79,89,89,정상
2022-04-10,42150,79,89,89,정상
2022-04-11,42150,79,89,89,정상
2022-04-12,42150,79,89,89,정상
2022-04-13,42150,78,89,88,정상
2022-04-14,42150,78,89,88,정상
2022-04-15,42150,79,89,89,정상
2022-04-16,42150,79,89,89,정상
2022-04-17,42150,79,89,89,정상
2022-04-18,42150,79,89,89,정상
2022-04-19,42150,78,89,89,정상
2022-04-20,42150,78,89,89,정상
2022-04-21,42150,78,88,89,정상
2022-04-22,42150,78,88,89,정상
2022-04-23,42150,78,88,89,정상
2022-04-24,42150,78,88,89,정상
2022-04-25,42150,77,88,88,정상
2022-04-26,42150,77,88,88,정상
2022-04-27,42150,77,88,88,정상
2022-04-28,42150,77,88,87,정상
2022-04-29,42150,76,88,87,정상
2022-04-30,42150,76,88,87,정상
2022-05-01,42150,76,88,87,정상
2022-05-02,42150,77,88,88,정상
2022-05-03,42150,76,88,87,정상
2022-05-04,42150,76,88,87,정상
2022-05-05,42150,76,87,87,정상
2022-05-06,42150,74,87,86,정상
2022-05-07,42150,74,87,86,정상
2022-05-08,42150,74,86,86,정상
2022-05-09,42150,72,86,84,정상
2022-05-10,42150,71,86,83,정상
2022-05-11,42150,70,85,83,정상
2022-05-12,42150,68,84,82,정상
2022-05-13,42150,68,84,81,정상
2022-05-14,42150,68,83,82,정상
2022-05-15,42150,68,83,82,정상
2022-05-16,42150,64,83,78,정상
2022-05-17,42150,63,82,78,정상
2022-05-18,42150,62,81,77,정상
2022-05-19,42150,61,81,76,정상
2022-05-20,42150,60,81,75,정상
2022-05-21,42150,60,80,76,정상
2022-05-22,42150,60,79,76,정상
2022-05-23,42150,56,79,72,정상
2022-05-24,42150,55,78,71,정상
2022-05-25,42150,54,78,70,관심
2022-05-26,42150,53,77,69,관심
2022-05-27,42150,52,77,68,관심
2022-05-28,42150,52,76,68,관심
2022-05-29,42150,52,76,69,관심
2022-05-30,42150,49,75,65,관심
2022-05-31,42150,48,75,64,관심
2022-06-01,42150,48,74,65,관심
2022-06-02,42150,46,73,63,관심
2022-06-03,42150,45,73,62,관심
2022-06-04,42150,45,72,63,관심
2022-06-05,42150,45,71,63,관심
2022-06-06,42150,44,71,63,관심
2022-06-07,42150,50,71,71,정상
2022-06-08,42150,55,70,78,정상
2022-06-09,42150,56,70,80,정상
2022-06-10,42150,56,69,82,정상
2022-06-11,42150,56,69,83,정상
2022-06-12,42150,56,68,83,정상
2022-06-13,42150,56,68,83,정상
2022-06-14,42150,55,67,83,정상
2022-06-15,42150,56,67,83,정상
2022-06-16,42150,57,67,86,정상
2022-06-17,42150,58,67,87,정상
2022-06-18,42150,58,66,87,정상
2022-06-19,42150,58,66,88,정상
2022-06-20,42150,57,66,87,정상
2022-06-21,42150,57,66,87,정상
2022-06-22,42150,56,65,86,정상
2022-06-23,42150,55,65,85,정상
2022-06-24,42150,57,65,88,정상
2022-06-25,42150,57,65,88,정상
2022-06-26,42150,57,65,88,정상
2022-06-27,42150,61,66,94,정상
2022-06-28,42150,62,66,95,정상
2022-06-29,42150,62,66,95,정상
2022-06-30,42150,62,66,95,정상
2022-07-01,42150,65,67,97,정상
2022-07-02,42150,65,67,97,정상
2022-07-03,42150,65,68,96,정상
2022-07-04,42150,65,68,95,정상
2022-07-05,42150,64,69,93,정상
2022-07-06,42150,64,70,92,정상
2022-07-07,42150,64,70,91,정상
2022-07-08,42150,63,70,90,정상
2022-07-09,42150,63,70,90,정상
2022-07-10,42150,63,71,89,정상
2022-07-11,42150,62,71,88,정상
2022-07-12,42150,64,71,90,정상
2022-07-13,42150,64,71,91,정상
2022-07-14,42150,67,72,94,정상
2022-07-15,42150,70,72,97,정상
2022-07-16,42150,70,73,97,정상
2022-07-17,42150,70,73,97,정상
2022-07-18,42150,74,73,102,정상
2022-07-19,42150,74,73,101,정상
2022-07-20,42150,73,73,101,정상
2022-07-21,42150,74,73,102,정상
2022-07-22,42150,78,72,108,정상
2022-07-23,42150,78,72,108,정상
2022-07-24,42150,78,73,107,정상
2022-07-25,42150,87,73,120,정상
2022-07-26,42150,88,73,121,정상
2022-07-27,42150,89,73,122,정상
2022-07-28,42150,89,73,122,정상
2022-07-29,42150,88,73,122,정상
2022-07-30,42150,88,73,122,정상
2022-07-31,42150,88,73,122,정상
2022-08-01,42150,87,73,121,정상
2022-08-02,42150,86,72,119,정상
2022-08-03,42150,85,72,119,정상
2022-08-04,42150,85,72,119,정상
2022-08-05,42150,85,72,119,정상
2022-08-06,42150,85,71,119,정상
2022-08-07,42150,85,71,119,정상
2022-08-08,42150,83,71,117,정상
2022-08-09,42150,82,71,116,정상
2022-08-10,42150,88,71,124,정상
2022-08-11,42150,87,72,122,정상
2022-08-12,42150,86,72,121,정상
2022-08-13,42150,86,72,121,정상
2022-08-14,42150,86,72,120,정상
2022-08-15,42150,86,72,120,정상
2022-08-16,42150,84,72,116,정상
2022-08-17,42150,84,73,116,정상
2022-08-18,42150,86,73,119,정상
2022-08-19,42150,85,73,117,정상
2022-08-20,42150,85,73,117,정상
2022-08-21,42150,85,74,116,정상
2022-08-22,42150,84,74,114,정상
2022-08-23,42150,84,74,114,정상
2022-08-24,42150,84,75,113,정상
2022-08-25,42150,84,75,112,정상
2022-08-26,42150,83,75,110,정상
2022-08-27,42150,83,75,110,정상
2022-08-28,42150,83,76,110,정상
2022-08-29,42150,81,76,107,정상
2022-08-30,42150,80,76,106,정상
2022-08-31,42150,84,76,112,정상
2022-09-01,42150,85,75,114,정상
2022-09-02,42150,82,75,110,정상
2022-09-03,42150,81,76,108,정상
2022-09-04,42150,81,75,108,정상
2022-09-05,42150,72,75,95,정상
2022-09-06,42150,85,75,113,정상
2022-09-07,42150,87,75,116,정상
2022-09-08,42150,89,75,118,정상
2022-09-09,42150,89,75,118,정상
2022-09-10,42150,89,75,118,정상
2022-09-11,42150,89,75,118,정상
2022-09-12,42150,89,76,118,정상
2022-09-13,42150,87,76,115,정상
2022-09-14,42150,86,76,114,정상
2022-09-15,42150,86,76,114,정상
2022-09-16,42150,85,76,113,정상
2022-09-17,42150,85,76,113,정상
2022-09-18,42150,85,76,112,정상
2022-09-19,42150,82,76,108,정상
2022-09-20,42150,83,76,110,정상
2022-09-21,42150,86,76,114,정상
2022-09-22,42150,88,76,116,정상
2022-09-23,42150,88,76,117,정상
2022-09-24,42150,88,76,117,정상
2022-09-25,42150,88,76,117,정상
2022-09-26,42150,89,76,117,정상
2022-09-27,42150,88,76,117,정상
2022-09-28,42150,88,76,116,정상
2022-09-29,42150,88,76,116,정상
2022-09-30,42150,88,76,116,정상
2022-10-01,42150,88,76,116,정상
2022-10-02,42150,88,77,116,정상
2022-10-03,42150,88,77,116,정상
2022-10-04,42150,90,77,117,정상
2022-10-05,42150,89,77,116,정상
2022-10-06,42150,89,77,116,정상
2022-10-07,42150,89,77,116,정상
2022-10-08,42150,89,77,116,정상
2022-10-09,42150,89,77,116,정상
2022-10-10,42150,89,77,115,정상
