#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123
# YYMMDD STN   WS    WR  WD   WS   WS  WD   WS   WS    TA    TA   TA    TA   TA    TD    TS    TG    HM    HM   HM    PV  EV_S  EV_L    FG     PA     PS     PS   PS     PS   PS   CA   SS   SS   SS    SI    SI   SI     RN     RN    RN     RN   RN     RN   RN     RN   RN     SD   SD     SD   SD    TE    TE    TE    TE    TE
#    KST  ID  AVG   DAY MAX  MAX  MAX INS  INS  INS   AVG   MAX  MAX   MIN  MIN   AVG   AVG   MIN   AVG   MIN  MIN   AVG               DUR    AVG    AVG    MAX  MAX    MIN  MIN  TOT  DAY  DUR  CMB   DAY   60M  60M    DAY    D99   DUR    60M  60M    10M  10M    POW  POW    NEW  NEW    MAX  MAX     5    10    15    30    50
#             m/s     m  16  m/s   TM  16  m/s   TM     C     C   TM     C   TM     C     C     C     %     %   TM   hPa    mm    mm    hr    hPa    hPa    hPa   TM    hPa   TM    %   hr   hr   hr         MAX   TM     mm     mm    hr     mm   TM     mm   TM     mm   TM     cm   TM     cm   TM     C     C     C     C     C
20260607  90  2.9  2479  14  7.3 1517  16 11.4 1603  19.2  20.7 1059  17.7  458  16.1  20.8  17.5  82.1  73.0  124  18.2   2.3   1.6 -9.00 1009.6 1011.6 1014.8   12 1008.4 1738  9.8  0.1 14.7 -9.0  8.45  1.22 1100    0.2   -9.0 -9.00    0.2   -9    0.2   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607  93  0.9   783  32  2.6 1132  11  5.7 1458  20.4  24.5 1701  16.9  520  14.6  21.9  16.1  70.6  54.0 1034  16.7   2.9   2.1 -9.00  998.8 1009.9 1013.2    7 1006.3 1714  9.1  2.6 14.7 -9.0 11.59  1.46 1500    1.6    1.6  1.50    1.6 2131    1.1 2152   -9.0   -9   -9.0   -9   -9.0   -9  23.0  21.4  18.7  14.3  12.8
20260607  95  1.7  1509  11  4.1  408  11  6.7  654  19.4  23.0 1721  16.2 2343  14.1  20.4  14.7  72.6  53.0 1257  16.2   2.9   2.0 -9.00  992.2 1010.2 1013.2  825 1007.1 1716  8.3  2.1 14.7 -9.0  9.31  1.06 1500    0.0    0.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607  98  1.0   834  11  3.3 1409  11  8.2 1409  20.2  24.5 1615  16.5 2400  12.5  21.8  13.6  62.4  42.0   38  14.6   2.8   2.0 -9.00  995.9 1009.3 1011.8  814 1006.1 1554  7.5  1.4 14.7 -9.0 10.65  1.41 1700    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607  99  1.8  1536   9  3.8 1050   9  7.2  916  19.0  23.2 1642  14.8 2343  14.5  22.3  11.5  76.3  62.0 1345  16.6   2.8   1.9 -9.00 1006.3 1009.9 1012.5  858 1007.4 1602  6.8  1.2 14.7 -9.0 10.30  1.28 1600    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 100  1.5  1294  11  3.9  722   9  6.4  752  13.9  16.7 1155  10.8  505  11.1  16.6   8.5  83.9  63.0  129  13.3   1.3   0.9 -9.00  923.7 1011.5 1015.1    4 1008.2 1826  9.4  1.3 14.7 -9.0  7.61  1.29  800    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 101  1.8  1594  32  3.6 1210  32  5.5 1138  20.2  24.6 1651  17.1  530  15.0  22.4  15.2  72.5  52.0  124  17.1   3.1   2.1 -9.00 1000.1 1008.9 1012.2    9 1005.1 1715  9.0  0.8 14.7 -9.0 11.58  1.47 1100    4.7    4.7 -9.00    4.7 2101    4.7 2151   -9.0   -9   -9.0   -9   -9.0   -9  22.5  19.4  17.1  14.8  15.0
20260607 102  1.8  1520  14  3.9  435  14  5.6  428  16.3  18.4 1456  13.7 2334  13.8  17.6  10.1  85.8  68.0 1429  15.8   2.0   1.4 -9.00 1004.4 1008.7 1010.3  554 1007.5 1721  8.1  0.2 14.7 -9.0  5.54  0.80 1700    5.7   -9.0  9.08    2.5  508    1.3  922   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 104  1.4  1248  11  3.7 1251  11  6.7 1559  18.5  20.8  939  15.7  454  15.6  22.4  13.8  83.6  68.0  129  17.9   2.0   1.4 -9.00 1001.7 1010.5 1013.7    1 1007.5 1827  9.6  0.2 14.7 -9.0 10.06  1.38  900    0.2    1.5  1.17    0.2   -9    0.2   -9   -9.0   -9   -9.0   -9   -9.0   -9  22.1  19.7  17.4  13.8  13.3
20260607 105  1.8  1544  11  3.7 1147  11  7.5 1332  19.0  21.2 1037  16.9  519  14.2  23.8  15.3  74.3  56.0   19  16.3   2.2   1.5 -9.00 1008.2 1011.4 1014.4    9 1008.4 1832  9.4  0.1 14.7 -9.0  9.13  1.03  800    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  23.0  20.4  18.8  15.3  14.6
20260607 106  1.8  1584   2  4.2 1030   2  6.9  955  18.6  22.7 1037  15.2  605  15.1  23.2  11.8  80.8  60.0  827  17.4   2.6   1.8 -9.00 1007.0 1011.7 1015.0    1 1009.1 2347  9.0  1.0 14.7 -9.0 11.99  2.06 1000    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260607 108  2.4  2034   5  4.0 1001   7  6.6    5  22.1  24.9 1752  19.7 2354  12.6  23.1  14.2  55.6  46.0    2  14.7   3.5   2.4 -9.00  999.1 1009.0 1011.3    1 1005.8 1636  8.1  2.0 14.7 -9.0  9.17  1.02 1700    0.0    0.0  0.50    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  22.3  19.9  18.7  14.9  13.7
