#START7777
# YYMMDD   STN         LON          LAT       HT      VAL
#    KST    ID        (deg)        (deg)     (m)         
20260607    42 126.59722000  35.93638000    2.12      0.0 군산오식도
20260607    43 126.41361000  34.71027000    1.07      0.0 솔라시도
20260607    44 126.41194000  34.74444000    1.73      0.0 삼호
20260607    45 128.11805600  34.91888900   15.00      0.0 하이
20260607    90 128.56473000  38.25085000   17.53      0.2 속초
20260607    92 128.66298000  38.05903000   75.40      1.2 양양(공)
20260607    93 127.75443000  37.94738000   95.78      1.6 북춘천
20260607    95 127.30420000  38.14787000  155.48      0.0 철원
20260607    96 131.86983000  37.23952000   99.08      0.0 독도
20260607    98 127.06070000  37.90188000  115.62      0.0 동두천
20260607    99 126.76648000  37.88589000   30.59      0.0 파주
20260607   100 128.71834000  37.67713000  772.43      0.0 대관령
20260607   101 127.73570000  37.90262000   75.82      4.7 춘천
20260607   102 124.71237000  37.97396000   36.00      5.7 백령도
20260607   104 128.85535000  37.80456000   75.24      0.2 북강릉
20260607   105 128.89099000  37.75147000   27.12      0.0 강릉
20260607   106 129.12433000  37.50709000   40.46      0.0 동해
20260607   108 126.96580000  37.57142000   85.67      0.0 서울
20260607   110 126.79451000  37.55891000   11.38      0.0 김포(공)
20260607   112 126.62490000  37.47772000   68.99      0.0 인천
20260607   113 126.44087000  37.46250000    7.10      0.0 인천(공)
20260607   114 127.94659000  37.33749000  150.11      0.0 원주
20260607   115 130.89863000  37.48129000  221.14      1.1 울릉도
20260607   116 126.96402000  37.44526000  624.82      0.0 관악(레)
20260607   119 126.98300000  37.25746000   39.81      0.0 수원
20260607   121 128.45743000  37.18126000  240.54      0.0 영월
20260607   127 127.95250000  36.97045000  114.85      0.0 충주
20260607   128 127.50000000  36.71666667   58.00      0.0 청주(공) *
20260607   129 126.49390000  36.77658000   25.25      0.0 서산
20260607   130 129.41278000  36.99176000   48.98      0.0 울진
20260607   131 127.44066000  36.63924000   58.70      0.0 청주
20260607   133 127.37210000  36.37199000   67.79      0.0 대전
20260607   135 127.99458000  36.22025000  244.98      0.0 추풍령
20260607   136 128.70733000  36.57293000  141.26      0.0 안동
20260607   137 128.15741000  36.40837000   96.58      0.0 상주
20260607   138 129.38002000  36.03201000    3.94      0.9 포항
20260607   140 126.76135000  36.00530000   27.85      0.0 군산
20260607   143 128.65296000  35.87797000   54.27      0.0 대구
20260607   146 127.11718000  35.84092000   60.44      0.0 전주
20260607   151 129.35222222  35.59333333   12.60      1.5 울산(공)
20260607   152 129.33469000  35.58237000   81.14      1.1 울산
20260607   155 128.57282000  35.17019000   34.97      0.0 창원
20260607   156 126.89156000  35.17294000   70.28      0.0 광주
20260607   159 129.03203000  35.10468000   69.56      0.2 부산
20260607   160 128.99995000  35.11882000  512.00      0.5 부산(레)
20260607   162 128.43561000  34.84541000   31.24      0.0 통영
20260607   163 126.38305555  34.99138888   10.90      0.0 무안(공)
20260607   165 126.38151000  34.81732000   44.70      0.0 목포
20260607   167 127.61250000  34.84666667   17.90      0.0 여수(공)
20260607   168 127.74063000  34.73929000   65.93      0.0 여수
20260607   169 125.45105000  34.68719000   75.12      0.0 흑산도
20260607   170 126.70182000  34.39590000   35.37      0.0 완도
20260607   172 126.59900000  35.34824000   52.42      0.0 고창
20260607   174 127.36940000  35.02040000  165.00      0.1 순천
20260607   175 126.32380000  34.47211000  478.51      0.0 진도(레)
20260607   177 126.68772000  36.65759000   27.74      0.0 홍성
20260607   181 127.38458000  36.63994000   33.55      0.0 서청주
20260607   182 126.50000000  33.51666667   26.50      0.0 제주(공)
20260607   184 126.52969000  33.51411000   20.79      0.1 제주
20260607   185 126.16283000  33.29382000   71.39      0.0 고산
20260607   188 126.88020000  33.38677000   20.34      4.8 성산
20260607   189 126.56530000  33.24616000   51.86      0.4 서귀포
20260607   192 128.04004000  35.16378000   29.35      0.0 진주
20260607   201 126.44634000  37.70739000   47.84      0.0 강화
20260607   202 127.49446000  37.48863000   47.26      0.0 양평
20260607   203 127.48421000  37.26399000   80.09      0.0 이천
20260607   211 128.16811000  38.05991000  202.00      0.4 인제
20260607   212 127.88043000  37.68360000  140.20      0.3 홍천
20260607   216 128.98929000  37.17038000  714.45      0.1 태백
20260607   217 128.67312000  37.38071000  312.00      0.0 정선군
20260607   221 128.19433000  37.15928000  264.62      0.0 제천
20260607   226 127.73415000  36.48761000  171.31      0.0 보은
20260607   229 125.55954000  36.62544000  104.81      0.0 북격렬비도 *
20260607   230 126.10297000  37.26450000   12.00      0.0 덕적북리
20260607   232 127.29282000  36.76217000   84.78      0.2 천안
20260607   235 126.55744000  36.32724000    9.98      0.0 보령
20260607   236 126.92079000  36.27242000   13.42      0.0 부여
20260607   238 127.48175000  36.10563000  170.17      0.0 금산
20260607   239 127.24438000  36.48522000   89.50      0.0 세종
20260607   243 126.71657000  35.72961000   12.20      0.0 부안
20260607   244 127.28556000  35.61203000  247.04      0.0 임실
20260607   245 126.83904000  35.56337000   68.70      0.0 정읍
20260607   247 127.39652000  35.42130000  133.49     11.3 남원
20260607   248 127.52031000  35.65696000  406.87      2.9 장수
20260607   251 126.69231000  35.42346000   50.00      0.0 고창군
20260607   252 126.47784000  35.28366000   37.20      0.0 영광군
20260607   253 128.89075000  35.22981000   54.59      0.0 김해시
20260607   254 127.12860000  35.37131000  129.38      0.0 순창군
20260607   255 128.67260000  35.22655000   50.95      0.0 북창원
20260607   257 129.02009000  35.30737000    6.29      0.3 양산시
20260607   258 127.21226000  34.76335000    1.41      0.0 보성군
20260607   259 126.78408000  34.64457000   16.19      0.0 강진군
20260607   260 126.91951000  34.68886000   43.99      0.0 장흥
20260607   261 126.56907000  34.55375000   16.36      0.0 해남
20260607   262 127.27572000  34.61826000   51.91      0.0 고흥
20260607   263 128.28812000  35.32258000   14.10      0.0 의령군
20260607   264 127.74538000  35.51138000  152.07     10.7 함양군
20260607   266 127.69140000  34.94340000   88.21      0.0 광양시
20260607   268 126.25846000  34.47296000    9.82      0.0 진도군
20260607   269 126.03050000  35.34690000   28.00      0.0 안마도
20260607   271 128.91449000  36.94361000  324.67      0.0 봉화
20260607   272 128.51687000  36.87183000  211.32      0.0 영주
20260607   273 128.14879000  36.62727000  173.01      0.0 문경
20260607   276 129.04005000  36.43510000  208.65      0.0 청송군
20260607   277 129.40926000  36.53337000   40.71      0.0 영덕
20260607   278 128.68864000  36.35610000   81.44      0.0 의성
20260607   279 128.32055000  36.13055000   49.17      0.0 구미
20260607   281 128.95140000  35.97742000   96.12      0.0 영천
20260607   283 129.20090000  35.81740000   40.13      0.1 경주시
20260607   284 127.90990000  35.66739000  228.45      1.3 거창
20260607   285 128.16994000  35.56505000   26.72      0.0 합천
20260607   288 128.74412000  35.49147000    8.31      0.0 밀양
20260607   289 127.87910000  35.41300000  138.22      0.6 산청
20260607   294 128.60459000  34.88818000   44.83      0.2 거제
20260607   295 127.92641000  34.81662000   45.71      0.0 남해
20260607   296 128.96024000  35.21778000    3.00      0.0 북부산
20260607   300 126.31507000  35.85799000   44.18      0.0 말도
20260607   301 126.11638000  35.09511000    9.00      0.0 임자도
20260607   302 126.18264000  34.64274000    6.00      0.0 장산도
20260607   303 125.09741000  34.07275000  105.88      0.0 가거도
20260607   304 126.84849000  34.31801000   25.41      0.0 신지도
20260607   305 126.92009000  33.98622000   34.96      0.0 여서도
20260607   306 127.80110000  34.43185000    3.04      0.0 소리도
20260607   308 126.07303000  34.68703000    8.23      0.0 옥도
20260607   309 126.68660000  37.94640000   25.00      0.0 판문점
20260607   310 129.26472000  37.32471000   14.07      0.0 궁촌
20260607   311 128.08673000  35.78915000  605.47      0.0 가야산
20260607   312 129.14128000  36.39314000  262.19      0.0 주왕산
20260607   313 128.74127000  34.88208000   70.00      0.0 양지암
20260607   314 127.74312000  35.86621000 1515.31      1.0 설천봉
20260607   315 127.51079000  35.30673000 1087.86      0.5 성삼재
20260607   316 126.99743000  35.11438000  911.53      0.0 무등산
20260607   317 127.11418000  35.72951000  105.92      0.0 구이
20260607   318 128.68208000  37.65328000  852.00      0.0 평창용산
20260607   319 130.87154000  37.53751000   57.80      4.0 천부
20260607   320 128.31375000  38.33104000 1263.88      5.5 향로봉
20260607   321 128.19630000  38.11470000  253.72      0.0 원통
20260607   322 127.66263000  38.20067000  223.00      0.0 상서
20260607   323 127.52551000  38.27268000  276.00      0.0 마현
20260607   324 128.07446000  36.91019000  155.91      0.0 송계
20260607   325 128.02526000  37.14449000  231.26      0.0 백운
20260607   326 127.61126000  37.54553000  191.01      0.0 용문산
20260607   327 127.51278000  36.62611000   97.00      0.0 청주금천
20260607   328 126.39838000  33.25050000   61.00      1.0 상예
20260607   329 126.56546000  33.44734000  377.00      2.0 산천단
