deep_ai_rank,sigungu,deep_ai_risk_score,deep_ai_risk_level,current_avg_reservoir_rate,pred_avg_reservoir_rate_7d,forecast_drop_7d,forecast_risk_score,forecast_risk_level,autoencoder_anomaly_score,autoencoder_anomaly_level,base_date,target_date
1,당진시,52.6072573852539,주의,72.33333333333333,70.68790435791016,1.6454289754231723,21.012095642089843,낮음,100.0,심각,2025-12-24,2025-12-31
2,보령시,40.6862362884287,주의,86.23666666666666,87.19776153564453,0.0,8.961566925048828,낮음,88.27324033349852,심각,2025-12-24,2025-12-31
3,서산시,31.76483982106525,낮음,76.26777777777778,76.01604461669922,0.2517331610785618,16.864288716634114,낮음,54.11566647771195,주의,2025-12-24,2025-12-31
4,청양군,22.836924090705857,낮음,98.675,97.9020767211914,0.7729232788085909,1.700423278808593,낮음,54.541675308551746,주의,2025-12-24,2025-12-31
5,서천군,20.531913961699864,낮음,95.8375,94.83470916748047,1.002790832519537,3.9165408325195323,낮음,45.45497365547036,주의,2025-12-24,2025-12-31
6,논산시,15.25629610659064,낮음,94.452,92.94401550292969,1.5079844970703107,5.391584497070311,낮음,30.053363520871127,낮음,2025-12-24,2025-12-31
7,천안시,14.26769044362117,낮음,89.015,88.22903442382812,0.7859655761718756,8.475465576171876,낮음,22.956027744795108,낮음,2025-12-24,2025-12-31
8,공주시,10.422181563972764,낮음,88.075,88.35891723632812,0.0,8.148757934570312,낮음,13.832317008076442,낮음,2025-12-24,2025-12-31
9,태안군,9.920124011091179,낮음,90.52105263157895,90.19197082519531,0.32908180638364115,6.964344964278373,낮음,14.353792581310389,낮음,2025-12-24,2025-12-31
10,부여군,7.15228726494912,낮음,90.03636363636363,90.4179458618164,0.0,6.707437896728515,낮음,7.819561317280028,낮음,2025-12-24,2025-12-31
11,홍성군,6.5727378845214846,낮음,83.8111111111111,84.35062408447266,0.0,10.95456314086914,낮음,0.0,낮음,2025-12-24,2025-12-31
12,금산군,5.46529329098252,낮음,86.37777777777778,87.02112579345703,0.0,9.085211944580077,낮음,0.03541531058618386,낮음,2025-12-24,2025-12-31
13,아산시,5.2011681537450425,낮음,95.745,95.18753051757812,0.5574694824218795,3.5359694824218764,낮음,7.698966160729791,낮음,2025-12-24,2025-12-31
14,예산군,4.3846589251127845,낮음,90.55384615384617,90.60062408447266,0.0,6.579563140869141,낮음,1.0923026014782518,낮음,2025-12-24,2025-12-31
