final_priority_rank,sigungu,final_water_risk_score,final_water_risk_level,main_risk_driver,recommended_action,rain_shortage_score,reservoir_risk_score,groundwater_dependency_score,crop_water_demand_score,alternative_source_access_shortage_score,agri_impact_index
1,당진시,41.018313990061024,주의,대체 수원 접근성 부족도,정기 점검 강화 및 농업용수 수요 변화 관찰,14.400000000000006,31.08333333333333,0.0,98.23740328363844,100.0,52.531962839243775
2,부여군,33.85620851433136,낮음,관정 의존도,일반 모니터링 유지,0.0,9.399999999999991,100.0,57.531042571656805,0.0,41.68067392792916
3,서산시,33.59612856571879,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,22.906666666666663,3.4276038212250635,87.6335075846481,96.57239617877494,66.84299258876399
4,논산시,30.908296511411507,낮음,관정 의존도,일반 모니터링 유지,0.0,5.340000000000003,69.74328688134362,62.994839116385705,30.25671311865638,62.84830295755991
5,보령시,28.65925899931384,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,12.86666666666666,14.950025657098896,69.7379488346864,85.04997434290111,46.73429776558594
6,홍성군,27.777676707950086,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,13.755555555555546,23.01105813644869,60.18841002708166,76.9889418635513,30.34967222570293
7,공주시,27.633350368075636,낮음,관정 의존도,일반 모니터링 유지,0.0,10.491666666666674,57.37706224933694,46.36363738237635,42.62293775066306,29.02503809937301
8,예산군,25.918204251683136,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,3.5,9.176923076923076,10.112964286370762,58.68838526907645,89.88703571362925,77.1313341427776
9,서천군,25.707339741641896,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,2.9625000000000057,15.698392215438574,66.98437760049016,84.30160778456143,51.20895606709978
10,아산시,25.42061510730572,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,4.016666666666666,14.166488203732897,64.99899810132882,85.8335117962671,48.71500176845834
11,계룡시,25.10829933716836,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,,4.096040883627103,10.993476244028251,95.9039591163729,0.0
12,태안군,23.799270173711136,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,2.0,9.05263157894737,6.2283715924751135,52.066375598633904,93.77162840752489,28.891341422661096
13,천안시,21.24106528869609,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,7.179999999999993,1.853669814823628,46.30349153606864,98.14633018517635,25.59949071075291
14,청양군,19.217608672926172,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,1.335714285714289,12.156649695887264,38.34007565954436,87.84335030411273,31.28801509108413
15,금산군,19.204248734570253,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,13.444444444444445,31.914302420423272,13.258536907084062,68.08569757957673,7.870126399094345
