final_live_priority_rank,sigungu,final_live_water_risk_score,final_live_water_risk_level,live_score_delta_from_baseline,live_main_risk_driver,live_weather_source,live_reservoir_source,live_soil_source,today_avg_reservoir_rate,today_min_reservoir_rate,today_reservoir_count,rainfall_30d,rainfall_7d,latest_rain_shortage_score,soil_data_date,soil_moisture_avg,soil_moisture_min,soil_moisture_drought_score,final_water_risk_score,final_water_risk_level
1,당진시,46.845434875093254,주의,5.82712088503223,대체 수원 접근성 부족도,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,73.4,73.4,1.0,177.66666666666666,0.0,91.92912191273744,2026-09-10,90.0,90.0,0.0,41.018313990061024,주의
2,태안군,39.931901235208315,낮음,16.13263106149718,강우 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,165.0,0.0,100.0,2026-09-10,88.0,88.0,0.0,23.799270173711136,낮음
3,공주시,38.763470022693625,낮음,11.130119654617985,강우 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,189.78333333333333,0.0,84.20868984768494,2026-09-10,91.0,91.0,0.0,27.63335036807564,낮음
4,부여군,36.17504870324351,낮음,2.318840188912155,관정 의존도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,238.25,0.0,53.32696158747496,2026-09-10,91.0,91.0,0.0,33.85620851433136,낮음
5,보령시,35.79068295813983,낮음,7.1314239588259944,대체 수원 접근성 부족도,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,59.3,59.3,1.0,252.225,0.0,44.42244675040961,2026-09-10,87.0,87.0,0.0,28.65925899931384,낮음
6,서산시,35.22393609391412,낮음,1.6278075281953264,대체 수원 접근성 부족도,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,94.45,88.9,2.0,234.6,0.0,55.652648825778265,2026-09-10,91.0,91.0,0.0,33.59612856571879,낮음
7,논산시,34.67208036262644,낮음,3.7637838512149315,관정 의존도,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,77.7,77.7,1.0,254.35,0.0,43.068450755507,2026-09-10,88.0,88.0,0.0,30.908296511411507,낮음
8,천안시,33.89728156457421,낮음,12.65621627587812,대체 수원 접근성 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,200.9157894736842,0.0,77.11537171711365,2026-09-10,92.0,92.0,0.0,21.24106528869609,낮음
9,아산시,33.376471958992376,낮음,7.955856851686654,대체 수원 접근성 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,226.875,0.0,60.57482250136537,2026-09-10,92.0,92.0,0.0,25.42061510730572,낮음
10,계룡시,32.96205213543696,낮음,7.8537527982686015,대체 수원 접근성 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,234.775,0.0,55.541143273256864,2026-09-10,85.0,85.0,0.0,25.10829933716836,낮음
11,금산군,31.773111471150163,낮음,12.56886273657991,강우 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,200.3142857142857,0.0,77.49863462588749,2026-09-10,94.0,94.0,0.0,19.204248734570253,낮음
12,청양군,30.6365455840056,낮음,11.418936911079431,대체 수원 접근성 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,212.0,0.0,70.0527944656836,2026-09-10,93.0,93.0,0.0,19.21760867292617,낮음
13,홍성군,30.262894755565792,낮음,2.485218047615703,대체 수원 접근성 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,264.4,0.0,36.66484616785,2026-09-10,94.0,94.0,0.0,27.77767670795009,낮음
14,예산군,29.253607989023713,낮음,3.3354037373405774,대체 수원 접근성 부족도,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,67.6,67.6,1.0,279.5,0.0,27.043509921718535,2026-09-10,89.0,89.0,0.0,25.918204251683136,낮음
15,서천군,21.425076250845457,낮음,-4.2822634907964385,대체 수원 접근성 부족도,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,,,,321.9428571428571,0.0,0.0,2026-09-10,88.0,88.0,0.0,25.707339741641896,낮음
