watch_rank,sigungu,watch_level,watch_reason,watch_priority_score,reservoir_latest_date,avg_reservoir_rate,min_reservoir_rate,max_reservoir_rate,reservoir_count,low_reservoir_count_40,low_reservoir_count_30,total_effective_capacity,reservoir_risk_score,final_water_risk_score,final_water_risk_level,main_risk_driver
1,당진시,심각후보,최저 저수율 30% 이하 / 30% 이하 저수지 존재 / 시군 평균 저수율 70% 미만,100.0,2025-12-31,68.91666666666667,0.1,100.0,12.0,1.0,1.0,0.0,31.08333333333333,41.018313990061024,주의,대체 수원 접근성 부족도
2,서산시,심각후보,최저 저수율 30% 이하 / 30% 이하 저수지 존재,100.0,2025-12-31,77.09333333333333,11.4,92.8,18.0,1.0,1.0,0.0,22.906666666666663,33.59612856571879,낮음,대체 수원 접근성 부족도
3,보령시,심각후보,최저 저수율 30% 이하 / 30% 이하 저수지 존재,100.0,2025-12-31,87.13333333333334,0.0,100.0,30.0,2.0,1.0,0.0,12.86666666666666,28.65925899931384,낮음,대체 수원 접근성 부족도
4,홍성군,정상,정상 모니터링,37.43331311936779,2025-12-31,86.24444444444445,70.9,100.0,9.0,0.0,0.0,0.0,13.755555555555546,27.77767670795009,낮음,대체 수원 접근성 부족도
5,부여군,정상,정상 모니터링,36.471241702866266,2025-12-31,90.6,45.0,100.0,11.0,0.0,0.0,0.0,9.399999999999991,33.85620851433136,낮음,관정 의존도
6,공주시,정상,정상 모니터링,35.772503406948466,2025-12-31,89.50833333333333,47.9,100.0,12.0,0.0,0.0,0.0,10.491666666666674,27.63335036807564,낮음,관정 의존도
7,금산군,정상,정상 모니터링,35.563071969136274,2025-12-31,86.55555555555556,72.7,99.9,9.0,0.0,0.0,0.0,13.444444444444445,19.204248734570253,낮음,대체 수원 접근성 부족도
8,예산군,정상,정상 모니터링,34.77210238879817,2025-12-31,90.82307692307693,73.2,100.0,13.0,0.0,0.0,0.0,9.176923076923076,25.918204251683136,낮음,대체 수원 접근성 부족도
9,태안군,정상,정상 모니터링,34.28616982421591,2025-12-31,90.94736842105264,69.6,100.0,19.0,0.0,0.0,0.0,9.05263157894737,23.799270173711136,낮음,대체 수원 접근성 부족도
10,논산시,정상,정상 모니터링,33.8516593022823,2025-12-31,94.66,48.0,100.0,25.0,0.0,0.0,0.0,5.340000000000003,30.908296511411507,낮음,관정 의존도
11,천안시,정상,정상 모니터링,32.83821305773921,2025-12-31,92.82,70.2,100.0,20.0,0.0,0.0,0.0,7.179999999999993,21.24106528869609,낮음,대체 수원 접근성 부족도
12,아산시,정상,정상 모니터링,32.09245635479448,2025-12-31,95.98333333333332,64.8,100.0,18.0,0.0,0.0,0.0,4.016666666666666,25.42061510730572,낮음,대체 수원 접근성 부족도
13,서천군,정상,정상 모니터링,31.622717948328383,2025-12-31,97.0375,86.3,100.0,8.0,0.0,0.0,0.0,2.9625000000000057,25.707339741641896,낮음,대체 수원 접근성 부족도
14,계룡시,정상,정상 모니터링,30.021659867433673,,,,,0.0,0.0,0.0,0.0,,25.10829933716836,낮음,대체 수원 접근성 부족도
15,청양군,정상,정상 모니터링,29.51137887744238,2025-12-31,98.66428571428573,87.6,100.0,28.0,0.0,0.0,0.0,1.335714285714289,19.21760867292617,낮음,대체 수원 접근성 부족도
