sigungu,component,raw_score,weight,contribution_score,final_water_risk_score
당진시,강우 부족도,14.400000000000006,0.25,3.6000000000000014,41.018313990061024
당진시,저수율 위험도,31.08333333333333,0.25,7.770833333333332,41.018313990061024
당진시,관정 의존도,0.0,0.2,0.0,41.018313990061024
당진시,작물 물수요,98.23740328363844,0.2,19.64748065672769,41.018313990061024
당진시,대체 수원 부족도,100.0,0.1,10.0,41.018313990061024
부여군,강우 부족도,0.0,0.25,0.0,33.85620851433136
부여군,저수율 위험도,9.399999999999991,0.25,2.349999999999998,33.85620851433136
부여군,관정 의존도,100.0,0.2,20.0,33.85620851433136
부여군,작물 물수요,57.531042571656805,0.2,11.506208514331362,33.85620851433136
부여군,대체 수원 부족도,0.0,0.1,0.0,33.85620851433136
서산시,강우 부족도,0.0,0.25,0.0,33.59612856571879
서산시,저수율 위험도,22.906666666666663,0.25,5.726666666666666,33.59612856571879
서산시,관정 의존도,3.4276038212250635,0.2,0.6855207642450127,33.59612856571879
서산시,작물 물수요,87.6335075846481,0.2,17.52670151692962,33.59612856571879
서산시,대체 수원 부족도,96.57239617877494,0.1,9.657239617877494,33.59612856571879
논산시,강우 부족도,0.0,0.25,0.0,30.908296511411507
논산시,저수율 위험도,5.340000000000003,0.25,1.3350000000000009,30.908296511411507
논산시,관정 의존도,69.74328688134362,0.2,13.948657376268725,30.908296511411507
논산시,작물 물수요,62.994839116385705,0.2,12.598967823277142,30.908296511411507
논산시,대체 수원 부족도,30.25671311865638,0.1,3.025671311865638,30.908296511411507
보령시,강우 부족도,0.0,0.25,0.0,28.65925899931384
보령시,저수율 위험도,12.86666666666666,0.25,3.216666666666665,28.65925899931384
보령시,관정 의존도,14.950025657098896,0.2,2.9900051314197795,28.65925899931384
보령시,작물 물수요,69.7379488346864,0.2,13.947589766937282,28.65925899931384
보령시,대체 수원 부족도,85.04997434290111,0.1,8.504997434290111,28.65925899931384
홍성군,강우 부족도,0.0,0.25,0.0,27.77767670795009
홍성군,저수율 위험도,13.755555555555546,0.25,3.4388888888888864,27.77767670795009
홍성군,관정 의존도,23.01105813644869,0.2,4.602211627289738,27.77767670795009
